variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
z[159],1.30871037161375,1.3088737,0.15339332999941116,0.15015913646999987,1.05362913,1.5597372699999998,1.0001390847870473,12608.424354720539,7287.754042792602
z[160],1.255926449195,1.2582661499999999,0.15673099771400245,0.15677027225999984,0.996644772,1.5109619199999997,1.0002095376516986,13289.531126408083,6975.9236825910375
z[161],1.2290416083225,1.228252,0.1656013358218463,0.16568181021000009,0.955723156,1.50025872,1.0012305596179472,12457.258693824644,6091.738404362135
z[162],1.220316769325,1.2193701,0.1649850948972029,0.16400587916999979,0.948225864,1.4923920149999998,0.9999422301839421,12961.229977245222,6387.249663688638
z[163],1.21631412883125,1.2164752,0.16801193667910638,0.1654277666999999,0.93895156,1.4925835749999998,1.0008567535114272,13324.43021974084,6317.077088344129
z[164],1.21567822335,1.21722755,0.16707765583679987,0.16572191453999996,0.939859258,1.4888799999999995,0.9999930083695872,13081.214606587593,6720.470374573108
z[165],1.32216537375125,1.32276645,0.16934308946181034,0.16861046412,1.0437323649999999,1.5999287549999996,1.0001063288662964,13076.439675840744,6973.1871571110505
z[166],1.2288882570925,1.2275479,0.17473413786409853,0.17505176807999986,0.9419494655,1.5144343099999995,1.0005703145663944,15067.539985131563,6723.297993363819
z[167],1.32418687848125,1.3238093000000002,0.17291261923141527,0.1731762790800001,1.038869545,1.6083318899999997,1.0001405405722785,11861.070959704024,6494.648208205054
z[168],1.22673862646125,1.2263484999999998,0.18008798339838542,0.17865878561999998,0.9323078730000001,1.52130754,1.0004583157968807,13057.554796776352,6462.9589061278675
z[169],1.2651124660925,1.2642913500000001,0.1758888726078007,0.1762973003399997,0.9756856665000001,1.5569504099999998,1.0001982539223293,13634.613924731282,6480.271150912498
z[170],1.32895590229,1.3282376500000002,0.17296847738965543,0.17405968628999985,1.047117115,1.6162350650000001,1.0008615984284375,13863.088289436522,6164.8676667939035
z[171],1.320165249405,1.3173065,0.17260343053619503,0.17182392549000008,1.037653205,1.6038102250000001,0.9999620969228293,13286.062984809643,6649.424289596747
z[172],1.29370942856,1.29513355,0.17435941802438132,0.17065793471999993,1.00776337,1.5806047799999998,0.999972031191169,13618.61673256045,6973.215067965208
z[173],1.20746900561625,1.20750315,0.19217393788650877,0.1886765655599999,0.8933402615,1.5241520100000001,1.0003061213915656,14346.486690152895,6328.451204604149
z[174],1.2081463500625,1.2097251,0.19234628726104236,0.19243251027000005,0.8951259619999999,1.52305296,1.0013571915431214,13726.552401974493,6155.3950023740135
z[175],1.551534975395,1.5461548999999999,0.18969979001544365,0.18790138814999996,1.24928381,1.8735407399999997,1.0012906948251494,8724.47673480706,6090.921953721458
z[176],1.3891679048875,1.38577405,0.18407650003931736,0.18141034296,1.088285465,1.6990246449999997,1.001515596114971,15661.42086515958,5899.864777985451
z[177],1.26712588610625,1.2687253,0.17928290203330735,0.18116237811000008,0.9745605545,1.5633596399999996,1.000496744476134,14269.570971683923,6307.648711205467
z[178],1.26720355714125,1.267857,0.1802390551612252,0.17850933954000012,0.9684789775,1.5535445099999996,0.9997506507922078,14579.319647004895,6287.692121675468
z[179],1.440682024275,1.44025685,0.1771040198812558,0.17564910762000002,1.148062075,1.7353978849999998,1.0002115234786526,10908.0732536058,5743.0590348798605
z[180],1.3599783790675,1.3577447,0.166619808335265,0.1664414944499999,1.0885140850000001,1.6386471099999997,1.0008684029067214,13002.650454003058,6359.001581357228
z[181],1.3602882628125,1.35633175,0.16690480746844868,0.16597425305999983,1.0929876500000002,1.6410455499999996,0.9998433635458716,13487.276478803857,6048.451033552214
z[182],1.40971175312375,1.4067051,0.16949486052298066,0.16820119239000003,1.1339760149999998,1.6961559849999999,0.9999817700395272,12243.345668842703,6435.146733697396
z[183],1.2977693566175,1.2974859,0.19955231367332582,0.19948219914000012,0.977233991,1.6258760849999998,1.0013748078253786,14888.860039338557,6449.48515930424
z[184],1.19095698017125,1.1926850999999998,0.18673260884687223,0.1879050205200001,0.8850385749999999,1.5057406999999998,1.0004325396056326,15896.234280591474,6598.323125002757
z[185],1.1763320969275,1.1768918,0.1816258143045176,0.18224904977999984,0.8797297415,1.4722814999999996,1.0001920695210527,15898.026792097757,5845.7831897678125
z[186],1.176935178625,1.17802375,0.18270478854758762,0.18380978280000004,0.8784035515,1.4727543099999998,0.9999103222661434,16233.595109454647,5956.721852441666
z[187],1.106641045785,1.10896285,0.17739467549101973,0.1777755785609999,0.8151808684999999,1.3975749599999998,1.0007191184018465,13863.919468429325,6638.037575196123
z[188],1.10545744967375,1.1051380499999999,0.177440825878091,0.17719041858000023,0.8097416865,1.39836192,1.0006582077153254,14034.080905917757,5988.359479928292
