type	features1	features2	comments
airstream	spreadGlottis:+	spreadGlottis:+,-,+	pre- and post-aspiration tɕ
airstream	raisedLarynxEjective:+; constrictedGlottis:+	raisedLarynxEjective:-,+; constrictedGlottis:-,+	ejectives for multi-segment affricates e.g. tɬ
airstream	raisedLarynxEjective:-; constrictedGlottis:+	raisedLarynxEjective:-; constrictedGlottis:-,+	ejectives for specifically tɬ̰
airstream	sonorant:+,-; nasal:+,-	sonorant:+,-,-; nasal:+,-,-	pre-nasalization for multi-segments
airstream	periodicGlottalSource:+,-; sonorant:+,-; nasal:+,-	periodicGlottalSource:+,-,-; sonorant:+,-,-; nasal:+,-,-	pre-nasalization for multi-segments
airstream	periodicGlottalSource:+,-; spreadGlottis:-,+; sonorant:+,-; nasal:+,-	periodicGlottalSource:+,-,-; spreadGlottis:-,-,+; sonorant:+,-,-; nasal:+,-,-	pre-nasalization for voiceless multi-segments
airstream	periodicGlottalSource:+,-; spreadGlottis:+,-; sonorant:+,-; nasal:+,-	periodicGlottalSource:+,-; spreadGlottis:-; sonorant:+,-; nasal:+,-	pre-nasalization for voiceless multi-segment fricatives
airstream	periodicGlottalSource:+; sonorant:+,-; nasal:+,-	periodicGlottalSource:+; sonorant:-; nasal:-	pre-nasalization for voiced fricatives
airstream	periodicGlottalSource:+,-; sonorant:+,-; nasal:+,-	periodicGlottalSource:-; sonorant:-; nasal:-	pre-nasalization for voiceless fricatives
airstream	periodicGlottalSource:-; spreadGlottis:+;loweredLarynxImplosive:+	periodicGlottalSource:+; spreadGlottis:-;loweredLarynxImplosive:+	combines voiced and voiceless implosives
airstream	click:+,-; periodicGlottalSource:+,-	click:+; periodicGlottalSource:+	aligns voiced click plosives with voiced click affricates
airstream	periodicGlottalSource:-;sonorant:+,-;nasal:+,-	periodicGlottalSource:+,-;sonorant:+,-;nasal:+,-	aligns voiceless pre-nasalization with voiced prenasalization
