glottocode	plosive_series	plosive_fullness	plosive_markedness_fullness	fricative_series	fricative_fullness	fricative_markedness_fullness	affricate_series	affricate_fullness	affricate_markedness_fullness	series	series_fullness	series_markedness_fullness	plosive_places	plosive_places_fullness	plosive_places_markedness_fullness	fricative_places	fricative_places_fullness	fricative_places_markedness_fullness	affricate_places	affricate_places_fullness	affricate_places_markedness_fullness	all_places	all_places_fullness	all_places_markedness_fullness
adan1247	4	2.0	2.0	4	2.0	2.0	4	2.0	2.0	6	3.0	3.3788702565921414	4	4.0	4.0	2	2.0	2.0	1	1.0	1.0	5	4.0	4.726869413370018
adan1251	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.5	2.802392085064903	4	4.0	4.0	2	2.0	2.0	0	0.0	0.0	4	3.333333333333333	3.733830861089422
adio1239	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	5	2.5	2.7005662678007605	4	4.0	4.0	2	2.0	2.0	1	1.0	1.0	5	4.333333333333333	4.796423304914085
adny1235	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.3333333333333333	1.4788118652640003	6	6.0	6.0	2	2.0	2.0	0	0.0	0.0	6	4.0	5.508002808142706
adyg1241	5	1.875	2.5217570526138777	5	2.090909090909091	2.1297408323732485	5	2.5	2.406706039555689	8	3.5137362637362637	4.365490950816273	8	5.0	5.410465171784903	11	7.666666666666666	10.533186395819994	4	3.333333333333333	3.561306482395646	14	8.166666666666666	10.532797908835915
adze1240	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	5	2.5	2.78057540383938	3	3.0	3.0	2	2.0	2.0	1	1.0	1.0	4	3.333333333333333	3.569812087750182
afad1236	6	2.8	3.2354980113778176	3	1.0	1.0	3	1.0	1.0	7	3.6000000000000005	4.429362487459213	5	3.75	4.309091612327029	4	4.0	4.0	2	2.0	2.0	6	4.45	5.029820562916018
afar1241	4	1.5	1.689059475667571	4	1.3333333333333333	1.0167726238277237	0	0.0	0.0	6	2.5	2.8764052189035354	4	3.0	2.5356214016147587	3	2.0	2.450680901567947	0	0.0	0.0	4	2.5	2.4874126870137285
afit1238	4	1.75	1.732627640258702	3	1.0	1.0	0	0.0	0.0	5	2.25	2.535019725323605	4	3.5	3.3530733159790134	2	2.0	2.0	0	0.0	0.0	4	3.0	3.1891107281791555
afri1274	4	1.6666666666666665	1.6610119013206708	4	1.3333333333333333	1.2700345348985573	0	0.0	0.0	6	3.0	2.8517285868233033	3	2.5	2.7131090135848783	3	2.0	2.4950792868771363	0	0.0	0.0	3	2.25	2.5973396662553654
aghe1239	4	1.75	1.7423122056502383	4	1.3333333333333333	1.5342887525593065	4	1.6666666666666665	1.9984631996211513	8	4.75	5.048064677886934	4	3.5	3.3530733159790134	3	2.0	1.9577490038660794	3	2.5	2.3191808887125713	4	3.3333333333333335	3.2329413514246252
aghu1254	4	2.0	2.0	0	0.0	0.0	0	0.0	0.0	4	2.0	2.0	5	5.0	5.0	0	0.0	0.0	0	0.0	0.0	5	5.0	5.0
agua1253	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.4	1.5160654849487412	3	3.0	3.0	2	2.0	2.0	2	2.0	2.0	5	3.5	4.3086328355475745
ahan1243	4	1.4	1.696330947834502	3	1.0	1.0	4	2.0	2.0	5	2.238095238095238	2.54199031868251	5	3.5	2.9993953465011445	4	4.0	4.0	2	2.0	2.0	7	5.166666666666667	4.927881698045301
ahan1244	4	2.0	2.0	4	2.0	2.0	4	2.0	2.0	6	3.5	3.5572703707693836	4	4.0	4.0	3	3.0	3.0	1	1.0	1.0	5	4.5	4.823179947712199
aheu1239	5	2.25	2.6057542187456537	4	1.0	1.124936469940871	0	0.0	0.0	7	2.75	3.50171964860007	4	3.0	3.1806399305988076	2	1.0	1.1241676576263226	0	0.0	0.0	4	2.2	2.72898888756699
ahte1237	5	2.5	2.5027557126883235	4	2.0	2.0	5	3.0	3.0	7	3.666666666666667	3.8305005013649187	4	3.3333333333333335	3.6537128080802384	3	3.0	3.0	2	2.0	2.0	6	4.4	5.111423165982649
aika1237	4	1.6666666666666665	1.6610119013206708	0	0.0	0.0	3	1.0	1.0	4	1.4	1.5800458035517	3	2.5	2.7131090135848783	0	0.0	0.0	2	2.0	2.0	5	3.5	4.394657402368426
ainu1240	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.25	1.5160654849487412	3	3.0	3.0	1	1.0	1.0	1	1.0	1.0	4	2.5	3.3086328355475745
ajab1235	4	1.8	1.9486351626203444	4	1.8	1.8674206120944103	4	2.0	2.0	6	3.071428571428571	3.7477169535202393	5	4.5	4.182548085635745	5	4.5	4.289599707644005	1	1.0	1.0	7	5.5	5.442419883295284
ajas1235	5	2.4	2.775969154180294	4	1.6666666666666665	1.6555157113475034	4	1.5	1.0758349791019886	7	3.427777777777778	4.339152176184975	6	5.0	5.928382655988982	6	5.0	5.524270938297214	2	1.5	1.792872961647642	9	6.566666666666666	8.578742838802157
ajyi1238	4	1.3333333333333333	1.330610450520966	3	1.0	1.0	4	2.0	2.0	5	2.0	2.159334678131982	3	2.0	2.7575095113695682	2	2.0	2.0	2	2.0	2.0	5	3.333333333333333	4.426627398060275
akan1250	4	1.75	1.9783005123977417	3	1.0	1.0	0	0.0	0.0	5	2.25	2.82659471464156	4	3.5	3.8209037735575384	2	2.0	2.0	0	0.0	0.0	4	3.0	3.4978408523220765
akas1242	5	2.2	2.0198962605156097	3	1.0	1.0	0	0.0	0.0	6	2.7	2.8222883455805126	5	3.6666666666666665	4.903806807792259	2	2.0	2.0	0	0.0	0.0	5	3.5	4.651981687707931
akaw1239	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.3333333333333333	1.7522602733581376	3	3.0	3.0	1	1.0	1.0	0	0.0	0.0	3	2.0	2.4455363638946572
akha1245	5	3.0	3.0	5	2.6666666666666665	2.968418974117177	5	3.0	3.0	8	4.583333333333334	5.339460383545818	5	5.0	5.0	3	2.6666666666666665	2.7372011299119556	1	1.0	1.0	6	4.533333333333333	5.264263525011442
akla1241	4	2.0	2.0	4	1.0	1.0923856435843409	0	0.0	0.0	6	2.666666666666667	2.9263678373471835	3	3.0	3.0	2	1.0	1.0855351524554306	0	0.0	0.0	3	2.0	2.534037028961814
akoo1248	5	3.0	3.0	4	2.0	2.0	4	2.0	2.0	7	3.25	3.7996530700855846	3	3.0	3.0	1	1.0	1.0	1	1.0	1.0	4	2.6	3.4901069805846405
akpe1248	4	1.75	1.7423122056502383	3	1.0	1.0	4	2.0	2.0	5	2.3	2.5226459487258213	4	3.5	3.3530733159790134	4	4.0	4.0	1	1.0	1.0	6	4.666666666666667	4.678089136225495
akun1241	3	1.0	1.0	0	0.0	0.0	0	0.0	0.0	3	1.0	1.0	4	4.0	4.0	0	0.0	0.0	0	0.0	0.0	4	4.0	4.0
akur1238	3	1.0	1.0	0	0.0	0.0	3	1.0	1.0	3	1.0	1.0	3	3.0	3.0	0	0.0	0.0	1	1.0	1.0	4	4.0	4.0
alab1237	4	1.3333333333333333	1.3142192781719093	3	1.0	1.0	3	1.0	1.0	5	1.6	2.0878708216336896	3	2.0	2.411322740898804	3	3.0	3.0	1	1.0	1.0	5	2.6666666666666665	3.6117468054075514
alab1254	5	3.0	3.0	4	1.6666666666666665	1.650259485958511	5	3.0	3.0	7	4.25	4.28388613380039	3	3.0	3.0	3	2.5	2.662545097290899	1	1.0	1.0	4	3.4	3.7453735507543655
alam1246	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	6	3.0	2.9981871965497766	3	3.0	3.0	4	4.0	4.0	1	1.0	1.0	4	3.0	2.453761426276922
alaw1244	4	2.0	2.0	0	0.0	0.0	0	0.0	0.0	4	2.0	2.0	5	5.0	5.0	0	0.0	0.0	0	0.0	0.0	5	5.0	5.0
aleu1260	3	1.0	1.0	4	1.6	1.9100734712924523	3	1.0	1.0	5	2.4000000000000004	2.9556143701466544	3	3.0	3.0	5	4.0	4.182232776465192	1	1.0	1.0	5	4.0	4.709677179917309
alla1248	4	2.0	2.0	4	2.0	2.0	0	0.0	0.0	6	3.5	3.6681748609844593	5	5.0	5.0	3	3.0	3.0	0	0.0	0.0	5	4.5	4.818888186995482
alng1239	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.6	2.6991542873317433	5	5.0	5.0	3	3.0	3.0	0	0.0	0.0	5	4.333333333333333	4.873972263378257
alut1245	3	1.0	1.0	4	1.5	1.7576036630948804	0	0.0	0.0	5	1.75	1.572069810573813	5	5.0	5.0	2	1.5	1.3374789289230677	0	0.0	0.0	5	3.333333333333333	3.5549644675054695
alya1239	3	1.0	1.0	0	0.0	0.0	0	0.0	0.0	3	1.0	1.0	12	12.0	12.0	0	0.0	0.0	0	0.0	0.0	12	12.0	12.0
amah1246	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.75	1.815499217147981	3	3.0	3.0	3	3.0	3.0	1	1.0	1.0	4	3.5	3.6996354507459577
aman1265	4	1.6666666666666665	1.6532073768512385	3	1.0	1.0	0	0.0	0.0	5	2.333333333333333	2.524095178952175	3	2.5	2.6982137273139255	2	2.0	2.0	0	0.0	0.0	3	2.333333333333333	2.709633695814492
amar1271	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.2	1.223862229529207	5	5.0	5.0	1	1.0	1.0	0	0.0	0.0	5	3.0	4.340204783534907
amar1274	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.6666666666666665	2.8813724712572015	3	3.0	3.0	2	2.0	2.0	0	0.0	0.0	3	2.6666666666666665	2.8403695766752826
amas1236	4	1.6	1.6924014157810676	3	1.0	1.0	0	0.0	0.0	5	1.8	2.266385850544155	5	4.0	3.813336458621447	1	1.0	1.0	0	0.0	0.0	5	3.0	3.5125739701304797
ambe1247	6	2.1944444444444446	3.5060027632641386	4	1.0	1.068990939871577	5	2.333333333333333	2.901117105537666	8	3.1027777777777783	4.42392955172075	9	5.0	6.776988967103722	5	2.5	3.152974412024167	3	2.0	1.8148772486725475	10	5.416666666666667	7.620942737520456
ambo1250	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.5	2.802392085064903	4	4.0	4.0	2	2.0	2.0	0	0.0	0.0	4	3.333333333333333	3.733830861089422
ambu1247	4	1.75	1.9603313270706586	4	1.0	1.124936469940871	0	0.0	0.0	6	2.25	2.856296756925075	4	3.5	3.4684869743672264	2	1.0	1.1241676576263226	0	0.0	0.0	4	2.25	2.9633540615772445
amdo1237	7	4.4	4.832886874229859	3	1.0	1.0	7	4.333333333333333	4.375631108617274	8	5.125	5.615771141193532	5	4.4	4.867114807232722	6	6.0	6.0	3	2.6	2.8191596038218503	8	6.833333333333334	7.631571988562454
amel1241	4	1.5	1.7362445599522904	4	1.0	1.0026389749669846	0	0.0	0.0	6	2.5	2.7746407034160043	4	3.0	2.88366264807245	3	1.5	1.7129646657364441	0	0.0	0.0	4	2.5	2.7404361738200183
amha1245	5	2.6	2.5706163626630296	4	1.5	1.793840768836521	5	3.0	3.0	7	3.6666666666666665	3.9205783218702037	5	4.333333333333333	4.573544267684367	4	3.0	3.733212237837774	1	1.0	1.0	6	4.4	5.145337804845413
amii1238	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.3333333333333335	2.4543817630226092	6	6.0	6.0	2	2.0	2.0	0	0.0	0.0	6	4.666666666666666	5.565382477611622
amoo1242	4	2.0	2.0	4	1.6666666666666665	1.8247945021871361	4	1.5	1.602103838416934	6	2.8333333333333335	3.207874259883638	4	4.0	4.0	3	2.5	2.7783204924998444	2	1.5	1.8300171939496974	6	4.5	5.58085258986851
amun1246	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.2	1.2736137612220122	4	4.0	4.0	1	1.0	1.0	1	1.0	1.0	5	3.0	4.40286296877502
ande1247	3	1.0	1.0	0	0.0	0.0	0	0.0	0.0	3	1.0	1.0	12	12.0	12.0	0	0.0	0.0	0	0.0	0.0	12	12.0	12.0
andi1255	5	2.1666666666666665	2.601070181308256	4	1.8	1.9784607001055725	5	2.5	2.6107927730525247	7	3.0	3.7496820395406054	6	4.333333333333333	4.119636885954278	5	4.5	4.904888495709926	2	1.6666666666666665	1.8362027023043914	9	5.4	6.7886869506251335
ando1255	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.3333333333333333	1.4967845069926424	4	4.0	4.0	2	2.0	2.0	2	2.0	2.0	6	4.0	4.930289178193985
ando1256	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.6666666666666665	2.802392085064903	3	3.0	3.0	2	2.0	2.0	0	0.0	0.0	3	2.6666666666666665	2.8670993343926954
anei1239	3	1.0	1.0	4	1.25	1.3146759274890418	3	1.0	1.0	5	1.6666666666666667	2.130772073802499	4	4.0	4.0	4	2.5	2.806018311074772	1	1.0	1.0	6	3.333333333333333	4.3749085076210505
anfi1235	5	3.0	3.0	4	2.0	2.0	5	3.0	3.0	7	3.5	3.947935090903428	3	3.0	3.0	1	1.0	1.0	1	1.0	1.0	4	2.8	3.4991518906943453
anga1288	5	3.0	3.0	4	2.0	2.0	4	2.0	2.0	9	7.0	7.0	3	3.0	3.0	3	3.0	3.0	3	3.0	3.0	3	3.0	3.0
anga1290	3	1.0	1.0	0	0.0	0.0	3	1.0	1.0	3	1.0	1.0	3	3.0	3.0	0	0.0	0.0	1	1.0	1.0	4	4.0	4.0
angg1238	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.6	1.6991542873317433	5	5.0	5.0	3	3.0	3.0	0	0.0	0.0	5	4.0	4.764537518551949
ango1258	5	2.0	2.08416277760669	4	2.0	2.0	4	2.0	2.0	7	3.583333333333333	3.6914297350753134	3	2.0	2.640384769431367	3	3.0	3.0	1	1.0	1.0	4	3.0	3.5499928417922235
angu1242	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.8	1.9852313582906027	5	5.0	5.0	4	4.0	4.0	0	0.0	0.0	5	4.5	4.988852364296254
anii1245	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	5	2.75	2.7995231840960892	4	4.0	4.0	3	3.0	3.0	1	1.0	1.0	5	4.666666666666667	4.870493594267753
anin1240	3	1.0	1.0	0	0.0	0.0	0	0.0	0.0	3	1.0	1.0	7	7.0	7.0	0	0.0	0.0	0	0.0	0.0	7	7.0	7.0
anta1253	3	1.0	1.0	0	0.0	0.0	0	0.0	0.0	3	1.0	1.0	5	5.0	5.0	0	0.0	0.0	0	0.0	0.0	5	5.0	5.0
anti1245	4	2.0	2.0	4	2.0	2.0	4	2.0	2.0	6	3.2	3.5627300165398874	4	4.0	4.0	3	3.0	3.0	1	1.0	1.0	5	4.0	4.657922255763896
anua1242	4	2.0	2.0	0	0.0	0.0	0	0.0	0.0	4	2.0	2.0	5	5.0	5.0	0	0.0	0.0	0	0.0	0.0	5	5.0	5.0
anuf1239	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	5	2.75	2.7995231840960892	4	4.0	4.0	3	3.0	3.0	1	1.0	1.0	5	4.666666666666667	4.870493594267753
anyi1244	4	2.0	2.0	3	1.0	1.0	4	2.0	2.0	5	2.75	2.9006880000764816	4	4.0	4.0	3	3.0	3.0	1	1.0	1.0	5	4.666666666666667	4.925929710646332
anyi1245	4	2.0	2.0	3	1.0	1.0	0	0.0	0.0	5	2.5	2.802392085064903	5	5.0	5.0	2	2.0	2.0	0	0.0	0.0	5	4.333333333333333	4.733830861089422
aona1235	5	3.0	3.0	4	1.5	1.9318812117882365	4	1.5	1.0585093723696979	7	3.0	3.5960953297488674	3	3.0	3.0	2	1.5	1.7390282739435192	2	1.5	1.7922038181111706	5	3.0	4.1861211468908195
apal1257	3	1.0	1.0	4	1.5	1.7305606429491704	0	0.0	0.0	5	2.0	2.156174200132252	3	3.0	3.0	2	1.5	1.7783204924998441	0	0.0	0.0	3	2.0	2.466994351621147
apat1240	4	1.8	1.9549716050217358	4	1.0	1.124936469940871	4	2.0	2.0	6	2.1666666666666665	2.884874100238764	5	4.5	4.441471897598456	2	1.0	1.1241676576263226	1	1.0	1.0	6	3.25	4.332328838220682
apia1248	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.3333333333333333	1.7522602733581376	3	3.0	3.0	1	1.0	1.0	0	0.0	0.0	3	2.0	2.4455363638946572
apin1244	4	1.6666666666666665	1.6609977126136402	3	1.0	1.0	4	2.0	2.0	5	2.25	2.3906049488185506	3	2.5	2.709477684740553	2	2.0	2.0	1	1.0	1.0	4	3.0	3.5437455929646475
apro1235	5	2.25	2.406623348649336	4	2.0	2.0	0	0.0	0.0	7	3.75	4.074798209633795	5	4.0	4.916027973830036	3	3.0	3.0	0	0.0	0.0	5	4.0	4.782089520107063
apuc1241	5	2.1	1.8145802483063378	3	1.0	1.0	0	0.0	0.0	6	2.214285714285714	2.0107144266392982	6	4.166666666666667	4.816392307114768	3	3.0	3.0	0	0.0	0.0	7	3.8333333333333335	4.296572004517233
apur1254	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.4	1.5160654849487412	3	3.0	3.0	2	2.0	2.0	2	2.0	2.0	5	3.5	4.3086328355475745
arab1267	3	1.0	1.0	0	0.0	0.0	0	0.0	0.0	3	1.0	1.0	6	6.0	6.0	0	0.0	0.0	0	0.0	0.0	6	6.0	6.0
arab1268	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.6666666666666665	1.8798492360156795	3	3.0	3.0	2	2.0	2.0	0	0.0	0.0	3	2.5	2.6992274671292704
arag1245	4	2.0	2.0	3	1.0	1.0	3	1.0	1.0	5	2.4000000000000004	2.7486050303832954	3	3.0	3.0	5	5.0	5.0	1	1.0	1.0	5	4.0	4.369284551161788
aran1237	4	1.75	1.9597737755223656	3	1.0	1.0	0	0.0	0.0	5	2.5	2.9337296205090775	4	3.5	3.460263142642434	3	3.0	3.0	0	0.0	0.0	4	3.3333333333333335	3.4348201229672743
arao1248	4	1.5	1.6457479955478578	4	1.5	1.7305606429491704	4	1.5	1.602103838416934	6	1.9999999999999998	2.4022042962040886	4	3.0	3.5340127871424167	2	1.5	1.7783204924998441	2	1.5	1.8300171939496974	6	3.0	4.730418256483319
araw1273	4	1.3333333333333333	1.3467926231487615	0	0.0	0.0	3	1.0	1.0	4	1.25	1.2957324284438658	3	2.0	2.3600356976058645	0	0.0	0.0	1	1.0	1.0	4	2.5	3.1432485974080144
araw1276	5	2.0	2.135608124901602	3	1.0	1.0	0	0.0	0.0	6	2.6666666666666665	3.006495927002538	3	2.0	2.068083812055668	2	2.0	2.0	0	0.0	0.0	3	2.0	2.074765247757179
arbe1236	4	2.0	2.0	4	2.0	2.0	4	2.0	2.0	6	3.666666666666667	3.800700891571464	4	4.0	4.0	5	5.0	5.0	2	2.0	2.0	6	5.5	5.83196438444494
arbo1245	7	3.3333333333333335	3.923513153909117	4	1.3333333333333333	1.4750539881456468	5	3.0	3.0	9	4.416666666666666	5.135725868094699	3	2.0	2.7726173931864557	3	2.0	2.440865589790743	1	1.0	1.0	4	2.657142857142857	3.322671410038578
arch1244	5	3.0	3.0	4	2.0	2.0	5	2.1944444444444446	2.010061985406448	8	3.864468864468864	4.315919646938819	5	5.0	5.0	11	11.0	11.0	10	7.666666666666666	7.474250973719597	16	10.833333333333332	11.64646811770082
argo1244	6	3.0	2.994654997278536	4	1.6666666666666665	1.650259485958511	5	3.0	3.0	8	4.0	4.2273791857665675	4	3.0	2.381425403293303	3	2.5	2.662545097290899	1	1.0	1.0	5	3.3333333333333335	3.1653048581631045
arhu1242	4	2.0	2.0	4	2.0	2.0	4	2.0	2.0	6	2.5	2.9230793116265756	3	3.0	3.0	1	1.0	1.0	1	1.0	1.0	4	2.5	3.503414092442709
arik1265	3	1.0	1.0	0	0.0	0.0	3	1.0	1.0	3	1.0	1.0	3	3.0	3.0	0	0.0	0.0	1	1.0	1.0	4	4.0	4.0
arin1244	6	3.6666666666666665	3.8058793709874426	5	2.5	2.4834346067777835	5	3.0	3.0	9	4.916666666666666	5.6711920626232715	4	3.75	3.9879946527695003	2	1.6666666666666665	1.9987969297991022	1	1.0	1.0	5	3.8333333333333335	4.708639319833153
arit1239	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.75	1.729918229800977	4	4.0	4.0	3	3.0	3.0	0	0.0	0.0	4	3.5	3.833420980850444
asha1243	3	1.0	1.0	4	1.0	1.1278268333005455	3	1.0	1.0	5	1.5	1.7857127051235175	4	4.0	4.0	3	1.5	1.9062727642569313	2	2.0	2.0	6	3.0	4.095391925633926
ashe1272	3	1.0	1.0	3	1.0	1.0	4	1.5	1.5667894727007647	5	1.5	1.6223317881857857	4	4.0	4.0	2	2.0	2.0	2	1.5	1.8676256563345508	6	3.0	5.003527163251607
assa1263	6	4.0	4.0	4	1.5	1.6690261924653413	0	0.0	0.0	8	5.0	5.521661776640717	3	3.0	3.0	2	1.5	1.7047720672108528	0	0.0	0.0	3	2.5	2.722254874080271
astu1245	4	2.0	2.0	3	1.0	1.0	3	1.0	1.0	5	2.4000000000000004	2.7486050303832954	3	3.0	3.0	5	5.0	5.0	1	1.0	1.0	5	4.0	4.369284551161788
atam1239	3	1.0	1.0	3	1.0	1.0	0	0.0	0.0	4	1.6	1.6991542873317433	5	5.0	5.0	3	3.0	3.0	0	0.0	0.0	5	4.0	4.764537518551949
atay1247	3	1.0	1.0	4	1.5	1.8306758751837942	3	1.0	1.0	5	2.2	2.556919788312964	4	4.0	4.0	4	3.0	3.060265133185788	1	1.0	1.0	5	3.6666666666666665	4.379492482058385
atti1239	4	2.0	2.0	4	1.3333333333333333	1.3497405140414893	4	2.0	2.0	6	2.666666666666667	2.9764402326006847	5	5.0	5.0	3	2.0	2.56881786154783	2	2.0	2.0	7	5.0	6.359220372791964
auuu1241	3	1.0	1.0	4	1.0	1.0923856435843409	0	0.0	0.0	5	1.6666666666666665	1.9263678373471835	3	3.0	3.0	2	1.0	1.0855351524554306	0	0.0	0.0	3	1.6666666666666665	2.2209097494305237
avac1239	3	1.0	1.0	3	1.0	1.0	3	1.0	1.0	4	1.2	1.2544791634879815	4	4.0	4.0	1	1.0	1.0	1	1.0	1.0	5	3.0	4.340090202012807
avar1256	5	2.571428571428571	2.9807503132214053	4	1.6666666666666665	1.7418536393308321	4	2.0	2.0	7	3.6025641025641026	4.140685240688825	7	6.0	6.4195716910979295	10	8.5	9.551653316437113	6	6.0	6.0	14	10.6	12.55079040177939
avat1244	4	2.0	2.0	4	2.0	2.0	4	2.0	2.0	6	2.8666666666666667	3.4210806332207966	4	4.0	4.0	3	3.0	3.0	1	1.0	1.0	6	4.5	5.7452925119166505
avik1243	5	2.083333333333333	2.014989675993464	4	1.75	1.8028439337269635	4	2.0	2.0	7	3.883333333333333	3.890318507080438	4	3.0	3.2481378238453544	4	3.5	3.2955652519701486	1	1.0	1.0	5	4.2	4.2624648831876595
