variable,trait,model_no,statistic,value
mu,fricative,3,median,0.2598652
mu,fricative,3,hdi_95_lower,-0.3851638186315556
mu,fricative,3,hdi_95_upper,0.9581280480690202
t_half,fricative,3,median,33.865404
t_half,fricative,3,hdi_95_lower,23.356978643533182
t_half,fricative,3,hdi_95_upper,46.814505859442725
tau,fricative,3,median,1.0807896499999998
tau,fricative,3,hdi_95_lower,1.003112099377302
tau,fricative,3,hdi_95_upper,1.1504294996446853
looic,fricative,3,Estimate,3776.4700580327462
looic,fricative,3,SE,166.31376164500915
V,fricative,4,median,4.489402950000001
V,fricative,4,hdi_95_lower,3.4412083060929426
V,fricative,4,hdi_95_upper,5.843517606400464
mu,fricative,4,median,0.19463689499999998
mu,fricative,4,hdi_95_lower,-0.4348463252486457
mu,fricative,4,hdi_95_upper,0.8651981959729965
t_half,fricative,4,median,30.0577125
t_half,fricative,4,hdi_95_lower,21.330190919153893
t_half,fricative,4,hdi_95_upper,41.74728199433443
tau,fricative,4,median,1.0188746499999999
tau,fricative,4,hdi_95_lower,0.9471694896912844
tau,fricative,4,hdi_95_upper,1.0947583998216583
looic,fricative,4,Estimate,3751.9954747864913
looic,fricative,4,SE,170.0103729148686
V,fricative,5,median,4.23203895
V,fricative,5,hdi_95_lower,3.188265688613378
V,fricative,5,hdi_95_upper,5.537108798176574
mu,fricative,5,median,0.2611392
mu,fricative,5,hdi_95_lower,-0.38242722797395223
mu,fricative,5,hdi_95_upper,0.9392716582749411
t_half,fricative,5,median,33.576748
t_half,fricative,5,hdi_95_lower,23.547037186918473
t_half,fricative,5,hdi_95_upper,46.92327721733747
tau,fricative,5,median,1.0772857999999998
tau,fricative,5,hdi_95_lower,1.0024557000017909
tau,fricative,5,hdi_95_upper,1.1505185000072211
looic,fricative,5,Estimate,3777.026138762953
looic,fricative,5,SE,166.15372795181148
V,fricative,6,median,4.97139535
V,fricative,6,hdi_95_lower,3.426142335753374
V,fricative,6,hdi_95_upper,7.21323976493249
mu,fricative,6,median,0.5019292449999999
mu,fricative,6,hdi_95_lower,-0.28882156965291167
mu,fricative,6,hdi_95_upper,1.3353150879960956
t_half,fricative,6,median,46.529381
t_half,fricative,6,hdi_95_lower,26.315238068881268
t_half,fricative,6,hdi_95_upper,75.28866018674843
tau,fricative,6,median,1.09543455
tau,fricative,6,hdi_95_lower,1.023332797993982
tau,fricative,6,hdi_95_upper,1.1663582988881016
looic,fricative,6,Estimate,3790.794557289747
looic,fricative,6,SE,166.71205384037228
V,fricative,7,median,0.26055953
V,fricative,7,hdi_95_lower,0.1905654506839811
V,fricative,7,hdi_95_upper,0.34199654189127054
mu,fricative,7,median,1.3101086
mu,fricative,7,hdi_95_lower,1.1389671954673635
mu,fricative,7,hdi_95_upper,1.4884940987238486
t_half,fricative,7,median,25.992651000000002
t_half,fricative,7,hdi_95_lower,17.172919040260318
t_half,fricative,7,hdi_95_upper,38.540368065757384
tau,fricative,7,median,0.405596495
tau,fricative,7,hdi_95_lower,0.38157455001492396
tau,fricative,7,hdi_95_upper,0.42961309009370835
looic,fricative,7,Estimate,1891.0292008792987
looic,fricative,7,SE,88.74290358924455
V,fricative,8,median,0.25300895
V,fricative,8,hdi_95_lower,0.1874904300651571
V,fricative,8,hdi_95_upper,0.3355279511268496
mu,fricative,8,median,1.3119192499999999
mu,fricative,8,hdi_95_lower,1.1398404002007738
mu,fricative,8,hdi_95_upper,1.4948979014691546
t_half,fricative,8,median,26.394741
t_half,fricative,8,hdi_95_lower,17.378743092993666
t_half,fricative,8,hdi_95_upper,38.30687224458583
tau,fricative,8,median,0.408796595
tau,fricative,8,hdi_95_lower,0.38456041043224676
tau,fricative,8,hdi_95_upper,0.43272758072303413
looic,fricative,8,Estimate,1892.224849022776
looic,fricative,8,SE,87.95458095116834
V,fricative,9,median,0.25787804000000003
V,fricative,9,hdi_95_lower,0.19207018103185047
V,fricative,9,hdi_95_upper,0.3383708034516733
mu,fricative,9,median,1.31046755
mu,fricative,9,hdi_95_lower,1.140817400136207
mu,fricative,9,hdi_95_upper,1.4901814009664218
t_half,fricative,9,median,26.404721000000002
t_half,fricative,9,hdi_95_lower,17.10160345852777
t_half,fricative,9,hdi_95_upper,38.074906757760544
tau,fricative,9,median,0.40688451999999997
tau,fricative,9,hdi_95_lower,0.38118474815608605
tau,fricative,9,hdi_95_upper,0.430747539327032
looic,fricative,9,Estimate,1892.5655003048564
looic,fricative,9,SE,88.34025314382838
V,fricative,10,median,0.262260485
V,fricative,10,hdi_95_lower,0.19361454222137875
V,fricative,10,hdi_95_upper,0.3417905733620867
mu,fricative,10,median,1.3064725
mu,fricative,10,hdi_95_lower,1.1368422092007384
mu,fricative,10,hdi_95_upper,1.4792161095248344
t_half,fricative,10,median,25.508615
t_half,fricative,10,hdi_95_lower,16.944302861822987
t_half,fricative,10,hdi_95_upper,37.671110936110885
tau,fricative,10,median,0.402974535
tau,fricative,10,hdi_95_lower,0.37833069982285905
tau,fricative,10,hdi_95_upper,0.427263199844662
looic,fricative,10,Estimate,1890.4012771395944
looic,fricative,10,SE,89.40821313784922
V,fricative,11,median,0.259873695
V,fricative,11,hdi_95_lower,0.19085056930808733
V,fricative,11,hdi_95_upper,0.3386101495598538
mu,fricative,11,median,1.30811295
mu,fricative,11,hdi_95_lower,1.1326590044291893
mu,fricative,11,hdi_95_upper,1.4786898044700836
t_half,fricative,11,median,25.98012
t_half,fricative,11,hdi_95_lower,17.272483694692227
t_half,fricative,11,hdi_95_upper,37.73159793693363
tau,fricative,11,median,0.40509637
tau,fricative,11,hdi_95_lower,0.3811500194080642
tau,fricative,11,hdi_95_upper,0.42964565965314433
looic,fricative,11,Estimate,1891.1127010118755
looic,fricative,11,SE,88.67718441164986
V,fricative,12,median,0.29461082
V,fricative,12,hdi_95_lower,0.19834142207460342
V,fricative,12,hdi_95_upper,0.43142364252961907
mu,fricative,12,median,1.33962385
mu,fricative,12,hdi_95_lower,1.0710035009040089
mu,fricative,12,hdi_95_upper,1.6290243140538003
t_half,fricative,12,median,38.1475515
t_half,fricative,12,hdi_95_lower,21.14755731951047
t_half,fricative,12,hdi_95_upper,74.59638076941278
tau,fricative,12,median,0.41374282
tau,fricative,12,hdi_95_lower,0.3889276800004199
tau,fricative,12,hdi_95_upper,0.4381352000106817
looic,fricative,12,Estimate,1897.99567254442
looic,fricative,12,SE,88.89612295852854
V,affricate,1,median,7.12369565
V,affricate,1,hdi_95_lower,5.194446088761618
V,affricate,1,hdi_95_upper,9.273561699690422
mu,affricate,1,median,-2.3965451
mu,affricate,1,hdi_95_lower,-3.1546631015208053
mu,affricate,1,hdi_95_upper,-1.5881612002829029
t_half,affricate,1,median,18.987409
t_half,affricate,1,hdi_95_lower,11.905609041765778
t_half,affricate,1,hdi_95_upper,27.67193305999348
tau,affricate,1,median,2.6155424
tau,affricate,1,hdi_95_lower,2.4704536982802647
tau,affricate,1,hdi_95_upper,2.759548998535568
looic,affricate,1,Estimate,1021.110888086674
looic,affricate,1,SE,259.3583054588861
V,affricate,2,median,7.719606450000001
V,affricate,2,hdi_95_lower,5.607191431008747
V,affricate,2,hdi_95_upper,10.248834987737876
mu,affricate,2,median,-0.623279855
mu,affricate,2,hdi_95_lower,-1.506577713623192
mu,affricate,2,hdi_95_upper,0.40390390988608915
t_half,affricate,2,median,29.468652
t_half,affricate,2,hdi_95_lower,17.522590104205097
t_half,affricate,2,hdi_95_upper,44.92286531087853
tau,affricate,2,median,2.6856709
tau,affricate,2,hdi_95_lower,2.5434927015072377
tau,affricate,2,hdi_95_upper,2.825499311729895
looic,affricate,2,Estimate,1027.6848568316575
looic,affricate,2,SE,258.27692904183255
V,affricate,3,median,8.92090675
V,affricate,3,hdi_95_lower,6.256330209290257
V,affricate,3,hdi_95_upper,12.188001025795607
mu,affricate,3,median,-0.47309782
mu,affricate,3,hdi_95_lower,-1.4493811533455139
mu,affricate,3,hdi_95_upper,0.5734149236872478
t_half,affricate,3,median,30.928246
t_half,affricate,3,hdi_95_lower,18.892161772944245
t_half,affricate,3,hdi_95_upper,48.461938887998585
tau,affricate,3,median,2.65726755
tau,affricate,3,hdi_95_lower,2.515805300404548
tau,affricate,3,hdi_95_upper,2.789726200632734
looic,affricate,3,Estimate,1024.0240995634413
looic,affricate,3,SE,258.5644835319363
V,affricate,4,median,10.498137499999999
V,affricate,4,hdi_95_lower,8.70767852630111
V,affricate,4,hdi_95_upper,12.297773028934822
mu,affricate,4,median,-1.80447385
mu,affricate,4,hdi_95_lower,-2.209405692181012
mu,affricate,4,hdi_95_upper,-1.3874553854088856
t_half,affricate,4,median,3.9276093999999997
t_half,affricate,4,hdi_95_lower,2.6179622966257363
t_half,affricate,4,hdi_95_upper,5.78974039990442
tau,affricate,4,median,1.6992488
tau,affricate,4,hdi_95_lower,1.414292600145865
tau,affricate,4,hdi_95_upper,1.9591564032772744
looic,affricate,4,Estimate,926.0463263052652
looic,affricate,4,SE,261.0875169064927
V,affricate,5,median,8.894406199999999
V,affricate,5,hdi_95_lower,6.188766757500631
V,affricate,5,hdi_95_upper,12.234899975707354
mu,affricate,5,median,-0.45206263
mu,affricate,5,hdi_95_lower,-1.4160646069010487
mu,affricate,5,hdi_95_upper,0.6221451972443329
t_half,affricate,5,median,31.297399
t_half,affricate,5,hdi_95_lower,18.788862906870545
t_half,affricate,5,hdi_95_upper,48.50332696281348
tau,affricate,5,median,2.6622419
tau,affricate,5,hdi_95_lower,2.533179797325285
tau,affricate,5,hdi_95_upper,2.803388298358508
looic,affricate,5,Estimate,1024.349652822803
looic,affricate,5,SE,258.62386560572224
V,affricate,6,median,11.0541125
V,affricate,6,hdi_95_lower,7.270014808209695
V,affricate,6,hdi_95_upper,15.773738137766497
mu,affricate,6,median,0.257849695
mu,affricate,6,hdi_95_lower,-0.8530197553955505
mu,affricate,6,hdi_95_upper,1.2720174975381753
t_half,affricate,6,median,51.4576075
t_half,affricate,6,hdi_95_lower,26.36068709574768
t_half,affricate,6,hdi_95_upper,84.57093615071575
tau,affricate,6,median,2.67665475
tau,affricate,6,hdi_95_lower,2.5384193017629832
tau,affricate,6,hdi_95_upper,2.8141277020258837
looic,affricate,6,Estimate,1029.9582168024997
looic,affricate,6,SE,258.6067877452732
V,affricate,7,median,0.82089877
V,affricate,7,hdi_95_lower,0.604638957833637
V,affricate,7,hdi_95_upper,1.0649761981467278
mu,affricate,7,median,1.1881133
mu,affricate,7,hdi_95_lower,0.9457280278386836
mu,affricate,7,hdi_95_upper,1.4420526985760806
t_half,affricate,7,median,17.4017935
t_half,affricate,7,hdi_95_lower,9.9312618031188
t_half,affricate,7,hdi_95_upper,25.726282008320922
tau,affricate,7,median,0.78823285
tau,affricate,7,hdi_95_lower,0.741311809705095
tau,affricate,7,hdi_95_upper,0.8354632099863704
looic,affricate,7,Estimate,3882.832888449757
looic,affricate,7,SE,61.0765942409196
V,affricate,8,median,0.814915005
V,affricate,8,hdi_95_lower,0.6112634638848423
V,affricate,8,hdi_95_upper,1.0703005978061866
mu,affricate,8,median,1.1900011
mu,affricate,8,hdi_95_lower,0.9458645450621426
mu,affricate,8,hdi_95_upper,1.4478446055340586
t_half,affricate,8,median,17.646571
t_half,affricate,8,hdi_95_lower,10.78835907234955
t_half,affricate,8,hdi_95_upper,26.370990085550304
tau,affricate,8,median,0.79364509
tau,affricate,8,hdi_95_lower,0.7457043794174328
tau,affricate,8,hdi_95_upper,0.8390634598846021
looic,affricate,8,Estimate,3882.0609148044778
looic,affricate,8,SE,60.76786441390353
V,affricate,9,median,0.816394235
V,affricate,9,hdi_95_lower,0.6074179369685483
V,affricate,9,hdi_95_upper,1.0653397991758906
mu,affricate,9,median,1.1900501000000001
mu,affricate,9,hdi_95_lower,0.94879202051623035
mu,affricate,9,hdi_95_upper,1.455871602728526
t_half,affricate,9,median,17.596642000000003
t_half,affricate,9,hdi_95_lower,10.990193845295806
t_half,affricate,9,hdi_95_upper,26.798390873560905
tau,affricate,9,median,0.791795925
tau,affricate,9,hdi_95_lower,0.7445550091071319
tau,affricate,9,hdi_95_upper,0.8379403393154566
looic,affricate,9,Estimate,3884.682902482076
looic,affricate,9,SE,60.821916305156414
V,affricate,10,median,0.8373037649999999
V,affricate,10,hdi_95_lower,0.6345465822326223
V,affricate,10,hdi_95_upper,1.0865500128048065
mu,affricate,10,median,1.1732774
mu,affricate,10,hdi_95_lower,0.947020860426334
mu,affricate,10,hdi_95_upper,1.4273164037982917
t_half,affricate,10,median,16.2490595
t_half,affricate,10,hdi_95_lower,9.439060040024774
t_half,affricate,10,hdi_95_upper,24.107549936379886
tau,affricate,10,median,0.7721093050000001
tau,affricate,10,hdi_95_lower,0.7246339094684341
tau,affricate,10,hdi_95_upper,0.8187342299289123
looic,affricate,10,Estimate,3883.564829995146
looic,affricate,10,SE,62.72858217022261
V,affricate,11,median,0.8202936949999999
V,affricate,11,hdi_95_lower,0.5953758409275602
V,affricate,11,hdi_95_upper,1.0625051019729708
mu,affricate,11,median,1.18580075
mu,affricate,11,hdi_95_lower,0.9501257771169977
mu,affricate,11,hdi_95_upper,1.4399387076920134
t_half,affricate,11,median,17.3285805
t_half,affricate,11,hdi_95_lower,10.087237981621234
t_half,affricate,11,hdi_95_upper,25.703882996734524
tau,affricate,11,median,0.78910111
tau,affricate,11,hdi_95_lower,0.7414034800062527
tau,affricate,11,hdi_95_upper,0.8343160205927128
looic,affricate,11,Estimate,3883.527342451925
looic,affricate,11,SE,61.038598387713435
V,affricate,12,median,0.90419727
V,affricate,12,hdi_95_lower,0.6401630266680304
V,affricate,12,hdi_95_upper,1.2681031999501304
mu,affricate,12,median,1.2309991
mu,affricate,12,hdi_95_lower,0.9390718800955232
mu,affricate,12,hdi_95_upper,1.580581900445844
t_half,affricate,12,median,22.8818945
t_half,affricate,12,hdi_95_lower,11.920096035106607
t_half,affricate,12,hdi_95_upper,37.71213238823527
tau,affricate,12,median,0.7977915250000001
tau,affricate,12,hdi_95_lower,0.7547586792820468
tau,affricate,12,hdi_95_upper,0.8464866293997406
looic,affricate,12,Estimate,3879.6856734044018
looic,affricate,12,SE,60.90903459378275
V,series,1,median,0.176597775
V,series,1,hdi_95_lower,0.13532022967780236
V,series,1,hdi_95_upper,0.22076114971601463
mu,series,1,median,1.1210014
mu,series,1,hdi_95_lower,0.9882898725815749
mu,series,1,hdi_95_upper,1.2571039948994522
t_half,series,1,median,25.0910245
t_half,series,1,hdi_95_lower,17.6198167843428
t_half,series,1,hdi_95_upper,34.04492003963773
tau,series,1,median,0.19186788999999999
tau,series,1,hdi_95_lower,0.17695708977894165
tau,series,1,hdi_95_upper,0.20774835992942547
looic,series,1,Estimate,3144.7521634036916
looic,series,1,SE,67.37485242932138
V,series,2,median,0.17254948
V,series,2,hdi_95_lower,0.13325271051093834
V,series,2,hdi_95_upper,0.2208708509873989
mu,series,2,median,1.1196631
mu,series,2,hdi_95_lower,0.9935517709624099
mu,series,2,hdi_95_upper,1.2524482013564542
t_half,series,2,median,25.320980499999997
t_half,series,2,hdi_95_lower,18.198014241855624
t_half,series,2,hdi_95_upper,34.879094707145924
tau,series,2,median,0.19445967
tau,series,2,hdi_95_lower,0.17977677999257646
tau,series,2,hdi_95_upper,0.20975766999405124
looic,series,2,Estimate,3144.530658772836
looic,series,2,SE,66.82208966725352
V,series,3,median,0.17700267
V,series,3,hdi_95_lower,0.13817785062103707
V,series,3,hdi_95_upper,0.2252296418366109
mu,series,3,median,1.11813415
mu,series,3,hdi_95_lower,0.9893240302899241
mu,series,3,hdi_95_upper,1.2554113061662149
t_half,series,3,median,24.9464465
t_half,series,3,hdi_95_lower,17.50196557941257
t_half,series,3,hdi_95_upper,34.40933775771522
tau,series,3,median,0.19107847
tau,series,3,hdi_95_lower,0.17536946995293282
tau,series,3,hdi_95_upper,0.20642677998263714
looic,series,3,Estimate,3135.9508331705774
looic,series,3,SE,67.56939850578408
V,series,4,median,0.177476095
V,series,4,hdi_95_lower,0.13629967001018417
V,series,4,hdi_95_upper,0.22356972011433632
mu,series,4,median,1.1153804
mu,series,4,hdi_95_lower,0.9824951771441607
mu,series,4,hdi_95_upper,1.2508213983959622
t_half,series,4,median,24.784536000000003
t_half,series,4,hdi_95_lower,17.26803358245781
t_half,series,4,hdi_95_upper,33.83188270345963
tau,series,4,median,0.19053336999999998
tau,series,4,hdi_95_lower,0.17490557981254554
tau,series,4,hdi_95_upper,0.20637556994305628
looic,series,4,Estimate,3135.781801501329
looic,series,4,SE,67.61304677588136
V,series,5,median,0.17701856500000002
V,series,5,hdi_95_lower,0.13669410898913387
V,series,5,hdi_95_upper,0.2256083293533589
mu,series,5,median,1.1158008
mu,series,5,hdi_95_lower,0.9920679914984424
mu,series,5,hdi_95_upper,1.25133070322569
t_half,series,5,median,24.8101045
t_half,series,5,hdi_95_lower,16.957835866845
t_half,series,5,hdi_95_upper,33.86878689572158
tau,series,5,median,0.19074476499999998
tau,series,5,hdi_95_lower,0.1744083099490169
tau,series,5,hdi_95_upper,0.2067381299740693
looic,series,5,Estimate,3140.871952761178
looic,series,5,SE,67.72721644917516
V,series,6,median,0.195630655
V,series,6,hdi_95_lower,0.14466085878644064
V,series,6,hdi_95_upper,0.26530081926587934
mu,series,6,median,1.13911755
mu,series,6,hdi_95_lower,0.9799650305125686
mu,series,6,hdi_95_upper,1.318270402314826
t_half,series,6,median,30.971093500000002
t_half,series,6,hdi_95_lower,19.982854509197455
t_half,series,6,hdi_95_upper,47.732186688612245
tau,series,6,median,0.19511993500000002
tau,series,6,hdi_95_lower,0.1799286708554891
tau,series,6,hdi_95_upper,0.21060403087388668
looic,series,6,Estimate,3152.3343123947593
looic,series,6,SE,67.58547851033066
V,series,7,median,1.2723353
V,series,7,hdi_95_lower,0.9976747377860622
V,series,7,hdi_95_upper,1.5917272997050618
mu,series,7,median,3.1594205
mu,series,7,hdi_95_lower,2.860850499615563
mu,series,7,hdi_95_upper,3.4682125998906
t_half,series,7,median,17.703256500000002
t_half,series,7,hdi_95_lower,12.049262909325071
t_half,series,7,hdi_95_upper,24.554854971407195
tau,series,7,median,0.5832874800000001
tau,series,7,hdi_95_lower,0.5277881599716597
tau,series,7,hdi_95_upper,0.6332509699921209
looic,series,7,Estimate,3338.1850184955324
looic,series,7,SE,78.34244232247458
V,series,8,median,1.2586652
V,series,8,hdi_95_lower,0.9832791878956156
V,series,8,hdi_95_upper,1.5844580997178905
mu,series,8,median,3.1727289
mu,series,8,hdi_95_lower,2.8858619015267264
mu,series,8,hdi_95_upper,3.499212702335813
t_half,series,8,median,18.440868000000002
