Glottocode,Inventory
belh1239,2236
beli1260,1105
bell1243,255
bemb1257,1188
bena1262,1513
benc1235,1477
beng1280,2624
beng1286,676
berb1259,1189
bero1242,675
bert1248,621
bese1243,2268
besi1244,2201
besl1239,1401
bett1235,2354
bhel1238,677
bhil1251,1712
bhoj1244,2357
biak1248,1683
bial1238,678
bibb1234,2865
bidy1243,2821
bidy1244,1494
biga1237,2982
bike1242,1102
bila1255,1251
bili1250,2851
bili1260,1332
bilo1248,1104
bilu1245,1210
bimo1239,679
bina1277,1193
binb1242,2688
bini1246,704
binu1245,872
biri1256,2822
biss1248,680
blan1242,1065
bodo1267,2576
bodo1269,263
boik1241,984
boko1266,682
bomi1238,1511
bona1250,2588
bond1245,2305
bong1285,1196
bora1263,1857
bora1271,1362
bord1248,1897
boro1277,1197
boro1282,1955
boun1243,1607
bouy1240,515
brah1256,2377
bret1244,2584
brib1243,268
brok1247,1198
buam1238,1603
bubi1249,1200
budu1250,1336
bugi1244,1694
bujh1238,2299
buku1249,1201
bula1255,2946
bulg1262,2368
buli1254,1390
bulu1251,684
bumb1241,1167
bumm1238,1575
buna1275,2630
bund1253,1716
bung1264,2717
buol1237,1676
bura1267,2629
burd1238,2742
burj1242,1657
buru1296,2561
buru1301,1313
busa1253,1252
buwa1243,1402
cabi1241,1814
cacu1241,1950
cadd1256,269
caja1238,2022
call1235,1985
came1252,773
camp1261,2546
cams1241,1924
cand1248,1925
cane1242,1956
capa1241,2000
caqu1242,1815
cara1272,2054
cari1279,1870
carn1240,271
cash1251,2001
cash1254,2003
cavi1250,2045
cayu1262,1926
ceba1235,1256
cebu1242,1692
cent1972,2250
cent1973,2322
cent1989,2597
cent1990,1773
cent2004,244
cent2018,713
cent2050,742
cent2087,1695
cent2092,2208
cent2128,319
cent2142,1851
cent2144,98
cent2150,1899
cent2194,1609
cerm1238,685
chac1249,1854
chac1250,2023
chac1251,121
chah1248,1461
chal1275,2281
cham1312,38
cham1315,2136
cham1318,1816
chan1310,2356
chau1259,1717
chay1248,1861
chec1245,2549
chee1238,1068
chen1255,2474
chep1245,857
cher1271,1323
cher1273,280
chib1270,1893
chic1270,1230
chim1300,1021
chim1301,1082
chim1302,1157
chim1309,1894
chip1261,63
chip1262,2126
chiq1248,1957
chiq1250,450
chir1286,2142
choc1276,1071
chok1243,1718
chol1282,860
chol1284,1921
chon1284,910
chon1287,1586
chra1242,861
chua1250,284
chua1256,291
chuk1273,2362
chum1261,686
chuv1255,281
coca1259,1909
coco1260,2222
coeu1236,863
cofa1242,289
cogu1240,1896
cola1237,2773
colo1256,1222
coma1245,864
como1259,1107
copa1236,83
copi1238,1318
coro1247,2021
croa1245,1139
cros1244,781
crow1244,1238
cube1242,2051
cuib1242,1910
culi1244,1848
cupe1243,865
curr1243,1817
cusc1236,2024
cuvo1236,866
czec1258,2480
dadi1250,468
dagb1246,690
dagi1241,1430
daha1245,301
dakp1242,2350
dalo1238,252
dang1274,297
dani1285,2265
dann1241,691
darf1239,300
dark1243,2256
darl1243,2876
darm1243,2383
daun1234,2774
daur1238,2312
dawr1236,343
daww1239,1990
daza1242,693
defa1248,1385
dege1246,1452
degg1238,787
deni1241,1845
deny1238,867
dera1245,395
dera1248,420
desa1247,2052
dghw1239,1299
dhal1245,2743
dhal1246,2973
dhan1270,2971
dhar1247,2745
dhar1248,2813
dhim1246,2463
dhiv1236,2315
dhud1236,2727
dhur1239,2995
dhuw1249,314
dibo1245,1247
didi1258,1431
dido1241,2329
dier1241,305
digo1242,2590
digo1243,1587
dime1235,1440
diml1238,1109
dink1262,1398
dira1238,2750
diri1252,1271
dita1238,697
dizi1235,457
djab1234,2785
djad1246,2783
djam1255,2683
djam1256,2974
djan1238,2893
djap1238,2992
djau1244,2662
djaw1238,2700
djee1236,2676
djeo1235,1960
djin1251,2687
djin1252,2977
djin1253,2976
djiw1241,2744
dobu1241,981
dolg1241,2255
doma1258,2530
domp1238,1495
dong1285,2477
doya1240,698
dual1243,700
dupa1235,2253
duru1236,1777
duru1249,1588
dutc1256,2174
duun1241,2943
dyaa1242,2890
dyab1238,2699
dyan1250,2991
dyir1250,2732
dyug1238,2695
dyul1238,696
dzal1238,2379
dzon1239,2394
dzuu1241,1468
east2282,2593
east2295,2399
east2304,2498
east2328,858
east2337,2242
east2347,2544
east2379,2158
east2380,2703
east2398,906
east2426,777
east2440,1682
east2516,414
east2542,72
east2555,2077
east2563,1671
east2652,1552
east2773,2388
ebir1243,702
efik1245,316
efut1241,1523
egaa1242,1233
eggo1239,873
egyp1253,132
ejag1239,706
ekar1243,317
ekpe1253,874
elfd1234,2473
elip1238,969
eloy1241,1300
emai1241,707
embe1259,1901
embe1260,1902
embe1262,1903
emer1243,2079
enap1235,1880
enaw1238,1818
endo1242,875
enge1239,708
epen1239,1905
erre1238,2648
ersu1241,2533
erzy1239,2616
esee1248,2047
esim1238,876
esto1258,2248
eten1239,1533
eton1253,1563
even1259,2238
even1260,2288
ewee1241,703
ewon1239,709
eyak1241,325
ezaa1238,705
ezha1238,1460
faiw1243,974
fali1285,1377
fang1246,877
fang1248,1621
faro1244,2378
fasu1242,326
fefe1239,710
fern1234,1438
fiji1243,328
fili1244,1212
finn1318,2535
fipa1238,1659
fonn1241,711
food1238,1310
fore1265,2469
fore1274,2450
fraf1238,1325
friu1240,2334
fuli1240,1651
fuln1247,1979
furr1244,333
furu1242,878
fwee1238,852
gaaa1244,717
gaaa1245,1500
gaam1241,1616
gabi1248,2941
gade1236,1721
gads1258,56
gaga1249,2331
gaga1251,2653
gagn1235,673
gagu1242,1562
gali1258,2619
gali1262,1867
galo1242,1722
gamb1251,3008
gami1243,2719
gamo1243,1481
gana1268,2788
gana1278,2789
gand1255,770
gang1267,3001
gang1268,2798
gara1269,2645
gari1254,2670
garo1247,24
gata1239,2435
gava1241,1577
gavi1246,2080
gayo1244,1052
gbag1258,339
gbar1246,880
gbay1281,939
gbay1287,720
gbay1288,755
gbes1238,1282
genn1243,722
gheg1238,2358
ghod1238,2565
ghom1247,1384
gida1240,2713
gida1247,901
giky1238,1302
gily1242,2370
giny1241,1303
giry1241,1593
glav1244,1543
godi1239,723
goli1247,881
gonj1241,724
goon1238,2631
gore1235,2866
gour1243,727
gras1249,393
guah1255,1911
guaj1255,2082
guaj1256,2081
guam1248,347
guan1269,1113
guan1270,1820
guar1292,2085
guar1293,1834
guat1253,1959
guay1257,1912
guda1243,2689
gude1246,1578
gudj1237,2818
guer1243,222
guga1239,2828
gugu1253,2819
gugu1254,2922
gugu1255,2886
guib1244,334
guin1254,1514
guja1252,2452
guja1253,1112
guma1252,2660
guma1253,2975
gume1239,1462
gumu1244,1475
gund1246,2656
gund1248,2997
gune1238,2658
gung1248,2814
gunw1252,883
guny1241,2816
gupa1247,2972
gura1252,2677
gurd1238,2905
gure1255,2938
guri1247,2853
guro1248,1605
guru1261,2344
guwa1242,2737
guwa1243,3017
guwa1244,2714
gwan1268,1352
gwen1239,1638
hadi1240,1363
hadz1240,357
hain1253,683
haio1238,1360
haka1240,287
hakk1236,2323
halb1244,1727
halh1238,405
halk1245,1115
hame1242,218
hang1258,728
hang1260,1643
hang1263,1064
hara1271,1397
haus1257,730
hawa1245,352
hawk1239,2984
haya1250,884
hdii1240,1403
hebr1245,2449
heib1243,1497
hela1238,2391
here1253,1255
hili1240,1696
hind1269,2542
hixk1239,355
hmon1264,2239
hoav1238,1211
holo1240,1389
hooo1248,2359
hopi1249,356
huaa1248,1379
hual1241,2034
huam1247,1948
huam1248,1155
huar1255,1033
huas1242,1116
huay1240,887
huba1236,1304
hueh1236,1083
huic1243,886
huml1238,2313
hung1274,2557
hung1278,1114
hunz1247,2237
hupa1239,65
hupd1244,1991
huro1249,885
iaai1238,363
iban1261,891
iban1264,364
ibib1240,1057
icel1247,2568
idaa1241,1187
idom1241,1536
ifee1241,731
iged1239,733
igna1246,1844
igoo1238,1580
ikal1242,1276
ikar1243,2878
ikkk1242,368
ikpe1245,1872
ikwe1242,1405
ikwo1238,735
ilga1238,2671
ilok1237,1670
imba1240,2026
imon1245,892
inap1243,1819
indo1316,1690
indo1317,247
inga1252,2027
ingu1240,2251
inor1238,1465
iqui1243,2140
iran1263,371
iraq1241,129
irar1238,369
irig1241,1537
iris1253,2521
irul1243,1737
ishk1246,2270
isla1278,107
isok1239,372
isth1244,2218
ital1282,2427
itel1242,2297
iton1250,1928
iumi1238,375
ivat1242,376
iwai1244,2672
iwam1256,377
iyiv1238,1664
iyow1239,1981
izer1241,1538
izii1239,736
izon1238,367
jahh1242,2567
jama1261,1847
jama1262,1053
jams1239,1442
jand1248,2728
japh1234,2407
japr1238,1874
jaqa1244,105
jaru1254,2854
jauj1238,889
jaun1243,1731
java1254,1675
jebe1250,1860
jeme1245,898
jenn1240,1739
jere1244,1539
jerr1238,2596
jiar1240,1208
jica1244,1232
jita1239,1439
jola1262,1311
jola1263,737
jowu1238,1287
juan1238,2258
jude1256,2284
juho1239,432
juma1249,2086
jumj1238,1312
jung1240,2028
jurm1239,738
juru1256,2087
kaba1278,2401
kabi1260,2940
kabi1261,1142
kabu1256,1606
kaby1243,900
kach1280,387
kadi1248,1915
kafa1242,394
kagf1238,1535
kagu1239,1381
kahe1238,1642
kain1272,1961
kaiw1246,2089
kaka1265,1515
kako1242,740
kala1377,2967
kala1378,2966
kala1379,2835
kala1380,2767
kala1381,1048
kala1399,62
kala1401,2836
kali1299,40
kalk1246,2739
kalm1243,2599
kama1351,2459
kama1365,617
kama1367,903
kama1373,2090
kamb1297,1443
kamb1298,1591
kamb1299,1679
kamb1316,1373
kamw1239,1368
kang1280,1733
kang1281,2301
kang1288,1419
kani1276,2867
kano1245,904
kara1462,2540
kara1464,2403
kara1467,2318
kara1474,2440
kara1476,2825
kara1478,744
kara1483,1351
kara1500,1962
kara1508,2751
karb1241,1736
kare1335,2446
kare1338,1347
kari1255,2122
kari1301,907
kari1304,2839
kari1311,2091
karo1304,88
karo1306,1097
kart1247,2952
kase1253,746
kash1277,389
katc1249,1421
katc1250,136
kaum1238,1592
kaur1267,2932
kawa1283,624
kawa1290,2882
kaxa1239,2005
kaxu1237,1875
kaya1319,3004
kaya1329,2093
kaya1330,1963
kayt1238,2711
keda1250,2225
keig1242,1417
kekc1242,397
kela1255,1173
kele1255,1337
keli1248,1339
keme1240,1412
kens1251,905
keny1279,908
keoo1238,1215
kera1255,2220
kera1256,2792
kete1252,1290
kett1243,2395
kgal1244,1449
khak1248,2433
khal1271,2537
kham1282,2525
khan1273,2376
khar1287,2511
khas1269,1741
khez1235,1742
khit1238,1994
khmu1256,412
kich1262,1154
kiku1240,748
kild1236,2260
kima1244,1668
kima1246,955
kinn1249,1226
kiny1244,911
kiow1266,409
kips1239,1387
kirg1245,2382
kiri1254,912
kisa1263,1446
kist1241,1457
kita1249,779
kitj1240,2674
kitu1245,792
kitu1246,1571
klam1254,416
klao1243,417
koal1240,1380
koas1236,1106
koda1255,1743
kofy1242,1305
koho1244,425
kohu1244,246
koka1244,2937
kokb1239,1794
kokn1236,2904
koko1269,913
komc1235,750
komi1268,182
komi1269,2575
komi1277,2384
komo1258,1484
komo1260,751
kond1295,1745
kond1303,2481
konk1267,422
konk1269,1508
konn1242,915
koon1245,747
koor1239,1482
kora1295,871
kore1280,2197
kore1283,2055
kork1243,2528
korr1238,1748
koru1247,2006
kory1246,427
kosh1246,1620
kota1263,1750
kota1272,1281
koya1251,1751
koya1253,1498
koyr1240,1257
koyr1242,1274
kpan1246,424
krac1238,1306
krah1246,1964
kren1239,1965
krik1239,1966
krim1238,1307
krio1253,756
kris1246,894
kron1241,1418
kuan1247,1501
kuay1244,916
kuii1252,1752
kuik1246,1876
kuka1246,2959
kuku1273,2889
kulu1253,917
kuma1273,1753
kumb1268,2735
kumi1248,90
kumy1244,2355
kumz1235,2221
kuna1268,2198
kung1258,2815
kung1259,2675
kung1261,1383
kuni1267,434
kuni1268,2336
kunj1245,46
kuny1238,1365
kunz1244,2123
kuoo1238,1346
kuot1243,918
kupa1239,1687
kups1238,428
kura1250,1622
kuri1259,758
kurr1243,2840
kurt1248,2439
kuru1302,1754
kuru1309,2094
kusa1250,759
kusu1250,919
kute1248,1119
kuth1240,2906
kuuk1238,2900
kuun1236,2765
kuvi1243,920
kuwa1246,1549
kwai1243,436
kwak1269,71
kwam1249,1487
kwam1250,1604
kwam1251,1503
kwan1273,1272
kwan1276,1582
kway1241,1646
kwaz1243,921
kwes1244,1291
kwin1241,3009
kwom1262,418
kyen1242,1519
kyer1238,2393
lada1244,922
ladi1251,2194
ladj1234,2779
lagw1237,1406
lahu1253,443
lake1258,1087
lakk1238,26
lakk1252,2335
lako1244,695
lako1247,75
lama1275,760
lama1288,1404
lamb1269,1710
lamb1276,2025
lamn1239,804
lamu1254,3020
lang1320,923
lang1322,1579
lang1324,1445
laoo1244,2246
lara1258,2642
lara1260,1688
lard1243,3003
latu1238,1995
lave1249,259
lavu1241,925
lazz1240,2410
leal1235,859
leco1242,1929
lega1249,1259
legb1242,1540
lele1264,441
lele1266,1516
lele1276,1275
lena1238,584
lend1245,762
leng1258,1338
leni1238,2912
lepc1244,1758
lese1243,1636
leti1246,1681
lezg1247,2311
libe1240,1561
libe1247,753
liby1240,1098
ligb1244,765
ligu1248,2325
liji1238,899
lika1243,1334
limb1268,1260
ling1263,768
lish1246,591
lisu1250,2578
lith1251,2244
livv1244,2448
lizu1234,2352
logb1245,1541
logo1259,1294
loko1255,764
loma1260,1517
long1387,1278
loni1238,1122
loth1237,1759
lowa1242,2504
lowe1385,2602
lowe1402,2793
lowe1415,308
lowe1436,2709
loxi1235,1022
luch1239,928
lugb1240,771
luis1253,447
lukp1238,769
lule1238,1930
lumu1239,1427
lund1266,927
luok1236,694
lush1249,1760
lusi1240,406
luth1234,2913
luuu1242,2374
luva1239,146
luwo1239,1432
luxe1241,2200
luya1241,890
lyel1241,1240
maas1239,714
maay1238,1315
maba1273,1316
maba1277,456
maca1259,1913
maca1260,1982
mace1250,930
mach1266,1283
mach1267,1822
mach1268,1821
macu1259,1877
macu1260,2056
mada1282,1284
mada1293,931
madh1244,2780
madi1260,932
madn1237,2632
mafe1237,2202
maga1260,2454
maib1239,938
mait1250,2302
maka1304,783
maka1311,1677
mako1251,1007
maku1278,2095
mala1464,2559
mala1481,1686
mala1522,1898
malg1242,2769
mall1246,986
maln1239,2855
malo1243,1051
malt1254,2275
maly1234,2968
mama1271,786
mama1278,1996
mamb1294,1054
mamb1296,1289
mamm1241,1128
mamp1244,775
mana1288,935
mana1295,933
manc1252,463
mand1415,2457
mand1436,1126
mang1381,2682
mang1382,2649
mang1383,2826
mang1394,778
mani1292,1125
mann1248,1518
mans1258,2475
many1256,2953
many1261,1369
maon1238,1765
maor1246,42
mapo1246,1878
mapu1245,1802
maqu1238,1879
mara1378,1766
mara1385,937
mara1386,47
mara1404,471
marg1251,2667
marg1253,2817
marg1265,470
mari1417,2637
mari1419,2638
mari1424,2639
mart1254,2640
mart1255,2841
marw1260,991
masa1299,1367
masa1300,451
matb1237,988
mati1255,2007
mato1253,2119
mats1244,2008
matu1259,1266
maun1240,2669
mawa1270,1378
maxa1247,1967
maya1280,2830
mayi1235,2832
mayi1236,2829
mayo1261,1488
maza1291,1042
mbaa1245,458
mbab1239,2928
mbal1255,1502
mbar1253,2895
mbar1254,2927
mbay1241,1474
mbee1249,1599
mbiy1238,2914
mboc1235,782
mbuk1240,1270
mbuk1243,1408
mbum1254,455
mbuu1238,1619
mbya1239,2083
medu1238,940
meen1242,1472
mehi1240,1823
mehr1241,2510
mend1266,784
mere1246,1584
merg1238,2491
meru1245,1641
mesc1238,951
mesq1240,1458
meta1238,785
mewa1250,1227
mezq1235,97
mfum1238,1601
mian1257,973
mich1243,1072
mich1245,957
miju1243,1767
mina1268,1698
mind1253,2562
ming1252,941
mini1256,2128
minj1242,2715
mink1237,2691
minn1241,481
miny1240,1768
mira1251,2278
mira1254,1858
miri1266,2673
mith1236,2748
miya1259,2453
mmaa1238,1596
mman1238,1322
mmen1238,942
moch1256,1644
moch1259,1931
moco1246,1916
mode1248,2458
mofu1248,1598
mogh1245,459
mogh1246,1625
moke1242,1673
mokl1243,1672
mokp1239,1626
moks1248,2243
mola1238,1123
molo1266,1409
mong1331,2464
mong1338,1277
mono1269,1344
mono1270,1143
morb1239,464
mori1268,1678
mori1278,1569
moro1284,1424
moro1285,465
moro1292,133
moru1253,1293
mose1249,1986
moss1236,789
motl1237,948
movi1243,1932
moyo1238,1769
mpad1242,1597
mpal1238,2915
mpar1238,2706
mpon1254,945
mudb1240,2856
mudh1235,1746
mufi1238,869
muin1242,1859
mull1237,2633
mulu1243,2888
muna1247,1214
mund1320,2295
mund1325,1343
mund1326,780
mund1327,791
mund1328,1618
mund1330,2096
mung1266,946
muni1258,1933
munj1244,2289
mura1269,2659
murl1244,793
murr1258,474
murr1259,2634
murs1242,473
muru1266,2720
muru1274,2129
muya1243,1410
mvum1238,947
mwag1236,794
mwal1237,1341
mwan1247,1448
mwan1250,790
myen1241,1263
naas1242,483
nade1244,1992
nafa1258,795
naga1394,958
naia1238,2661
naik1250,1771
najd1235,2607
naka1260,2678
naki1238,956
nama1264,482
nama1265,155
nami1256,949
nana1257,341
nand1266,954
nang1259,2635
nank1250,953
nant1250,1824
napo1242,2039
nara1262,2203
nari1240,1493
nari1241,2784
narp1239,2617
narr1259,2795
naru1238,2936
nate1242,1413
natu1246,557
nauk1242,2291
nava1243,66
nawd1238,796
nawu1242,1660
naxi1245,485
ncan1245,1600
ndai1238,1348
ndal1241,1471
ndam1239,1611
ndem1249,950
ndog1248,1436
ndon1254,1269
ndra1239,2910
ndut1239,487
ndzw1235,1547
nene1249,2402
nepa1253,868
nepa1254,2204
newa1246,489
nezp1238,81
ngaa1240,2962
ngad1258,2837
ngad1261,1213
ngal1292,2652
ngal1293,2654
ngal1294,2684
ngam1268,799
ngam1284,2752
ngan1291,2461
ngan1295,2655
ngan1296,2990
ngan1299,718
ngan1300,1504
ngar1235,2858
ngar1283,2686
ngar1284,3007
ngar1287,2843
ngar1288,2857
ngar1296,2961
ngar1297,2998
ngas1238,1473
ngas1240,657
ngaw1240,2833
ngaz1238,1531
ngba1285,800
ngem1255,936
ngie1241,1628
ngin1247,2794
ngit1239,1470
ngiz1242,491
ngko1236,2916
ngom1271,963
ngom1272,1411
ngos1238,959
ngum1253,2692
ngwe1238,1286
nhan1238,2770
nhen1239,2097
nhir1234,2755
nhuw1239,2844
nias1242,1674
niel1243,493
nige1253,1254
nige1255,774
nige1257,1134
nija1241,2847
nima1245,2698
nina1238,2132
ning1273,980
nisg1240,1130
niva1238,1983
njeb1242,1371
njye1238,1602
nkon1248,1455
nobi1240,152
noma1260,798
noma1263,1825
nonu1241,2130
noon1243,492
nort2626,1111
nort2627,1131
nort2641,2484
nort2646,2321
nort2647,2332
nort2671,2235
nort2684,965
nort2686,2372
nort2690,603
nort2697,2296
nort2699,2445
nort2722,2486
nort2735,309
nort2740,2518
nort2741,2496
nort2745,2286
nort2765,749
nort2774,801
nort2775,719
nort2780,689
nort2784,797
nort2787,835
nort2795,1491
nort2810,725
nort2815,307
nort2819,681
nort2828,1689
nort2845,1205
nort2943,1077
nort2952,82
nort2954,966
nort2957,486
nort2966,1135
nort2972,1904
nort2976,2033
nort2979,2035
nort2980,2037
nort2984,1132
nort3047,1624
norw1258,2441
norw1259,499
ntch1242,1264
ntom1248,1662
nubi1253,967
nucl1235,362
nucl1240,478
nucl1290,1028
nucl1301,2416
nucl1302,2183
nucl1305,2277
nucl1310,2164
nucl1327,2643
nucl1339,570
nucl1347,841
nucl1417,732
nucl1418,671
nucl1440,1565
nucl1454,644
nucl1460,1691
nucl1620,610
nucl1632,52
nucl1633,495
nucl1634,1013
nucl1643,2196
nucl1649,592
nucl1668,1952
nucl1683,1576
nucl1695,1195
nucl1696,1567
nuer1246,968
nugu1241,2933
nugu1242,805
nuka1242,1951
nuku1263,2009
nung1283,502
nung1290,2665
nung1291,2685
nupe1254,806
nuuc1236,964
nyab1255,803
nyah1250,274
nyam1271,2845
nyam1276,970
nyam1277,1392
nyam1285,1376
nyan1301,45
nyan1307,990
nyan1313,505
nyaw1245,2426
nyaw1247,2862
nyeu1238,971
nyig1240,2693
nyis1236,21
nyol1238,1447
nyon1241,1181
nyul1247,2701
nyun1247,2864
nzim1238,1399
obol1243,972
ocai1244,506
occi1239,2478
ofay1240,1968
ogbi1239,507
okoo1245,1382
okuu1243,975
olub1238,1314
olut1240,1207
omag1248,2098
onaa1245,1907
onei1249,77
onge1236,1206
opuu1239,1486
orej1242,2057
oriy1255,2495
orma1241,1631
ormu1247,510
orok1266,929
orok1269,978
orow1243,1889
osse1243,2432
otor1240,1374
otuh1238,1366
oyka1239,2930
paca1246,2152
paco1243,511
paez1247,1934
pagi1243,1070
pait1244,1776
pait1247,2099
paiw1248,522
paka1251,2901
pala1344,977
pali1279,1826
pall1243,2877
palo1243,1324
pamp1243,1697
pana1294,1633
pana1305,1133
pana1307,1969
pand1265,807
pang1287,1388
pang1290,1699
panj1256,2479
pano1254,2004
pano1255,2010
pany1241,2848
paok1235,1043
papa1238,585
para1301,520
para1310,1864
para1311,2084
para1312,2100
para1315,1958
para1316,1827
pare1266,2364
pare1272,1828
park1239,808
pate1247,1172
patt1248,1778
paum1247,1849
pech1241,512
pemo1245,1883
pemo1248,1882
peng1244,1779
pero1241,1361
peta1245,1171
peve1243,446
phai1238,985
phal1254,1036
phut1244,2531
piap1246,1829
piar1243,2042
pich1237,1809
picu1248,92
pila1245,1073
pinj1244,2869
pint1250,2963
piny1238,1632
pira1253,477
pira1254,2058
pirl1238,2753
pirr1240,2766
pisa1245,2143
pite1240,2497
pitj1243,2226
pitt1247,2763
plat1254,517
plau1238,2224
pnar1238,2627
pohn1238,519
poko1263,1394
poli1260,1046
popt1235,378
port1283,2623
pott1240,2543
poya1241,2011
prin1242,1454
pudi1238,2954
puel1244,1906
puin1248,1935
pula1262,810
pula1263,809
pume1238,2125
punt1240,2758
puoc1238,2386
pure1242,594
puri1258,2456
puri1262,1971
puxi1242,2298
pwon1235,1224
qaqe1238,267
qaua1234,340
qawa1238,2144
qima1242,1161
quec1382,952
quil1240,525
quio1240,279
rajb1243,2247
rama1270,987
ravu1237,1799
rawa1265,2360
reel1238,1634
remb1249,2663
rend1243,811
resi1247,1830
reun1238,1564
reye1240,2048
rikb1245,1972
rita1239,2979
roma1326,2304
roma1327,2443
rong1268,1546
roto1249,528
ruka1240,311
rund1242,989
russ1263,2261
russ1264,2317
rusy1239,2343
rutu1240,531
saam1283,1489
saan1246,996
saba1262,812
saba1265,34
saba1268,995
saek1240,2361
saki1248,1217
sala1264,2523
sala1272,2040
sali1298,2043
samb1305,992
samo1303,982
samr1245,994
sand1273,1652
sang1328,813
sanj1284,1078
sanm1287,888
sanm1289,2036
sanm1295,100
sanm1298,2216
sans1269,1782
sant1410,2550
sant1432,2038
sanu1240,1236
saop1235,1980
saot1239,1566
sasa1249,997
sata1237,1018
sate1243,2102
saur1248,1735
saur1249,2339
savo1255,559
saxw1241,1492
saya1246,1370
sayu1241,999
scot1243,2505
scot1245,2601
seba1251,1464
seco1241,1000
seda1262,13
seim1238,1002
sekp1241,1326
sela1259,1062
sele1249,1330
sele1250,554
selk1253,2485
seme1247,1003
sena1262,815
sene1264,536
sera1259,1011
serb1264,2499
sere1260,816
seri1257,1147
serr1255,1004
sgaw1245,25
shab1252,1005
shan1277,2551
shan1282,1520
shan1283,2013
shar1245,1999
shas1239,544
shaw1249,1012
sheh1240,2621
sher1255,2307
sher1258,1321
shil1265,1359
shin1264,1785
ship1255,2015
shix1238,2230
shon1251,1008
shua1257,1949
shum1243,2502
shus1248,543
shwa1239,1499
siam1242,1627
siar1238,1010
sich1238,2483
sida1246,1080
sikk1242,2415
siks1238,1103
silt1240,1414
sind1272,2508
sinh1246,545
sion1247,2060
sipa1247,1156
siri1273,2116
siri1274,2061
siss1242,818
siwi1239,1610
siwu1238,1320
skol1241,2566
slov1268,2455
slov1269,2209
soch1239,1108
sodd1242,1456
soma1255,127
soni1259,1273
sooo1256,1476
soqo1240,555
sora1254,2526
sout2436,2586
sout2642,2545
sout2672,2227
sout2674,549
sout2679,2442
sout2697,2259
sout2729,2585
sout2746,2472
