"","series_markedness_fullness"
"jita1239",7.43790171267097
"jola1262",8.18466557927974
"jola1263",8.54921378763215
"jowu1238",8.02167919938372
"juan1238",4.17560187455715
"jude1256",6.68564040180126
"juho1239",3.90101647878347
"juma1249",5.32165363654107
"jumj1238",8.1863074623821
"jung1240",4.84515578354026
"jurm1239",1.04435012460491
"juru1256",3.81513343072181
"kaba1278",6.01237161354286
"kabi1261",7.74034784627676
"kaby1243",5.59398586411379
"kach1280",2.90877143850093
"kadi1248",4.69610944575954
"kafa1242",5.23970848736101
"kagf1238",8.59140217757377
"kagu1239",7.7387357943793
"kahe1238",7.74573140719822
"kain1272",5.65544114842431
"kaiw1246",4.21471993240411
"kaka1265",7.60369994061726
"kako1242",6.65800684606408
"kala1377",9.96877819526889
"kala1381",3.14384081628666
"kala1399",5.99878026107549
"kalm1243",5.34399868655256
"kama1365",6.30527705075338
"kama1367",9.32101140605595
"kama1373",3.77459784059204
"kamb1297",8.03526778408323
"kamb1299",1.29640295391144
"kamb1316",3.02177834394959
"kamw1239",4.16160113222872
"kang1280",4.62132771516389
"kang1281",4.85806960108563
"kang1288",3.99274420235943
"kara1462",2.00875282882567
"kara1464",2.05701937023041
"kara1467",1.76547498988486
"kara1474",4.50628935062925
"kara1476",9.80654161544085
"kara1478",7.01774755348262
"kara1500",6.43059325275516
"karb1241",1.49701072301405
"kare1335",1.47413272083517
"kare1338",7.32540539022088
"kari1311",3.3179691794076
"kase1253",8.59072833802647
"kash1277",5.21912105481186
"katc1249",4.01924600586566
"kawa1283",5.10510912987442
"kaxa1239",6.46592653191218
"kaxu1237",6.70030468382237
"kaya1319",6.07419636443201
"kaya1329",4.40498691563908
"kaya1330",5.33308258401651
"kayt1238",9.59595716447665
"keig1242",4.53178200356368
"kekc1242",2.69031327209547
"kela1255",1.52651787636695
"kele1255",8.55183770519685
"keli1248",2.64570213131667
"keme1240",9.00200527111238
"kens1251",8.13480235171321
"keny1279",7.62420919122833
"keoo1238",2.08577141589741
"kera1255",3.72659626778479
"kete1252",7.49088223977682
"kett1243",6.09181385613451
"kgal1244",9.17270499022505
"khak1248",2.05383971657394
"kham1282",5.20174900841275
"khan1273",1.92089709355983
"khar1287",4.27586912151274
"khas1269",3.42367081613188
"khez1235",2.42550485228814
"khmu1256",3.80679352538646
"kich1262",2.66627834982055
"kiku1240",7.76902144450152
"kild1236",1.92272796531677
"kima1244",1.71500979892919
"kima1246",5.23363968261565
"kinn1249",3.35744985585334
"kiny1244",7.54601557946916
"kiow1266",6.63599327685068
"kips1239",8.44381677839496
"kirg1245",1.70264233268363
"kiri1254",2.7387520476647
"kisa1263",8.46094233336281
"kist1241",3.29768133257336
"kita1249",7.75097287139208
"kitj1240",6.60346367506729
"kitu1245",8.19400758868173
"klao1243",8.13568705988435
"koal1240",6.38391257732023
"koas1236",6.62167893911191
"koda1255",4.56997103016286
"kofy1242",4.02510856276185
"koho1244",4.83502824436933
"kohu1244",9.16174873223853
"koka1244",9.01272381375856
"kokb1239",3.04575044868922
"koko1269",1.52506678852985
"komc1235",8.71784286370742
"komi1268",1.58967092723881
"komi1269",1.84643603532752
"komi1277",1.57454137398547
"komo1258",9.8312510252555
"komo1260",7.89904002094932
"kond1295",2.92108930748882
"kond1303",7.14816929237235
"konk1267",5.6305800779469
"konk1269",8.07326989747108
"konn1242",8.00277915130147
"koon1245",6.22521795222573
"koor1239",4.81554764986341
"kore1280",3.91727969230757
"kore1283",4.36469606475771
"kork1243",4.31284954831439
