variable,mean,median,sd,mad,q5,q95,rhat,ess_bulk,ess_tail
y_rep[939],25.037433719937507,0.582098765,236.3272652268953,0.8449442078973001,0.00458255715,62.76458599999999,1.0001105654482478,7496.318112501045,7583.2749935437105
y_rep[940],25.926033552743135,0.6067014399999999,311.5781523861183,0.8797891685876997,0.004383312570000001,60.27856509999996,0.9999757451547192,8168.5587680990575,8057.220782960273
y_rep[941],21.19446749083906,0.57561033,182.09303897006643,0.8344584556455,0.004348354285000001,55.94161844999968,1.000259653966108,8728.405262386646,7648.552992975441
y_rep[942],13.66604236077659,0.400466615,109.99061877642043,0.5809906872617401,0.0032341090700000004,40.466913399999854,1.000187040669728,7971.636103490853,7806.435760649241
y_rep[943],25.570128869835603,0.43140384499999995,297.2926099843754,0.6250912824620098,0.003236658615000001,55.27708504999994,1.0002760499663843,8516.283985096325,7601.486466570509
y_rep[944],19.914343936089175,0.45179864000000003,242.1023723407324,0.65596382757465,0.0035112883450000004,49.05732114999992,0.9998667725801472,8224.946761251209,7832.387532512263
y_rep[945],22.4891103980379,0.521534405,233.27397851422904,0.7542796789311,0.004477602895000004,61.56553984999957,0.9999867595457737,8382.672728569953,7810.17310599492
y_rep[946],54.44258942652668,0.64612218,1760.0006383653897,0.9348761530688999,0.0051549366,70.92812179999997,1.0001000073660913,8842.684345480868,8100.636299227399
y_rep[947],31.236413951720586,0.515992315,419.5313137762017,0.7468225915962001,0.00438526845,56.07209124999974,1.0006435242216207,7812.293744432975,7996.516384117797
y_rep[948],25.345618644693683,0.547681345,291.1776544350658,0.7916652392900999,0.004143682055,55.83810504999975,0.9999810554079244,8291.4186225197791,8001.280851904738
y_rep[949],21.136427898524236,0.381856565,391.34524485921423,0.55329244523616,0.002763734610000001,44.77469094999999,0.9998905613368021,7965.976728857881,7755.014124713816
y_rep[950],28.600161557423984,0.585934095,316.34809916788976,0.8490251592836999,0.003970661545,58.365753399999896,0.999734870471037,7975.6288706853675,7779.269482773164
y_rep[951],32.29655580473026,0.62007294,404.08579372516925,0.9004320503534999,0.004083464110000001,61.56222945,1.0000603036536497,7708.019206453315,7277.479814253546
y_rep[952],39.07186236495164,0.6792803000000001,422.6126304968314,0.9869212315326,0.004328442335000001,91.08450914999956,1.0000435556758174,8897.969662553656,7449.617395109292
y_rep[953],55.66690598034989,0.9798898549999999,737.2542774588558,1.4211734601728998,0.0073336583750000005,105.89633699999857,1.0000938435873692,8448.70808878002,8115.233277588061
y_rep[954],44.167576203228734,1.1098093,370.4369130608708,1.6078457388230998,0.00943702209,126.3769924999997,1.0000107304559074,8437.159924934704,7865.415606312665
y_rep[955],43.55513905905336,1.0061487,438.1515651901371,1.4548970541294,0.008584413650000003,110.82290399999995,0.9998581933485045,8520.379404834337,7692.299159120333
y_rep[956],71.77451591331732,1.0212550999999999,1593.1618658097902,1.4806371799295996,0.007901962975000006,108.3358274999999,0.999741789701587,8417.314631834977,7415.830289809153
