variable,trait,model_no,statistic,value
t_half,plosive,11,hdi_95_upper,14.961720993462228
tau,plosive,11,median,0.37546037
tau,plosive,11,hdi_95_lower,0.3303938496842856
tau,plosive,11,hdi_95_upper,0.41797603996255017
looic,plosive,11,Estimate,2337.401483535169
looic,plosive,11,SE,75.66319458177021
V,plosive,12,median,0.7080950749999999
V,plosive,12,hdi_95_lower,0.5557107600043489
V,plosive,12,hdi_95_upper,0.899386100562076
mu,plosive,12,median,2.13655485
mu,plosive,12,hdi_95_lower,1.9582436991412706
mu,plosive,12,hdi_95_upper,2.328013399227223
t_half,plosive,12,median,11.552280499999998
t_half,plosive,12,hdi_95_lower,7.059045682503626
t_half,plosive,12,hdi_95_upper,17.114626944521387
tau,plosive,12,median,0.38246563
tau,plosive,12,hdi_95_lower,0.3399798090518027
tau,plosive,12,hdi_95_upper,0.4251145596330188
looic,plosive,12,Estimate,2356.4826591239657
looic,plosive,12,SE,77.31659707563853
V,fricative,1,median,4.08932635
V,fricative,1,hdi_95_lower,3.0636158955039
V,fricative,1,hdi_95_upper,5.296739298611264
mu,fricative,1,median,-0.21479220999999998
mu,fricative,1,hdi_95_lower,-0.9395120836379272
mu,fricative,1,hdi_95_upper,0.5731966581743895
t_half,fricative,1,median,31.1522025
t_half,fricative,1,hdi_95_lower,21.260179972856655
t_half,fricative,1,hdi_95_upper,42.49123198727686
tau,fricative,1,median,1.0698268
tau,fricative,1,hdi_95_lower,0.9945976593892695
tau,fricative,1,hdi_95_upper,1.1393119999904628
looic,fricative,1,Estimate,3762.775207317567
looic,fricative,1,SE,166.16034979437157
V,fricative,2,median,4.04825015
V,fricative,2,hdi_95_lower,3.081382301408936
V,fricative,2,hdi_95_upper,5.217291637054083
mu,fricative,2,median,0.246190495
mu,fricative,2,hdi_95_lower,-0.38464922671935625
mu,fricative,2,hdi_95_upper,0.9021010443115257
t_half,fricative,2,median,33.489564
t_half,fricative,2,hdi_95_lower,23.74914410734287
t_half,fricative,2,hdi_95_upper,46.752740355224034
tau,fricative,2,median,1.08880095
tau,fricative,2,hdi_95_lower,1.017207500156752
tau,fricative,2,hdi_95_upper,1.1580122005169922
looic,fricative,2,Estimate,3780.2839510512927
looic,fricative,2,SE,165.4024301166881
V,fricative,3,median,4.205181
V,fricative,3,hdi_95_lower,3.1013057004442337
V,fricative,3,hdi_95_upper,5.425917006020164
mu,fricative,3,median,0.246659505
mu,fricative,3,hdi_95_lower,-0.3917549355052065
mu,fricative,3,hdi_95_upper,0.9546994544092485
t_half,fricative,3,median,33.6188935
t_half,fricative,3,hdi_95_lower,23.849152064316158
t_half,fricative,3,hdi_95_upper,47.23588808468865
tau,fricative,3,median,1.0794141499999999
tau,fricative,3,hdi_95_lower,1.0044271996220053
tau,fricative,3,hdi_95_upper,1.1514090996316562
looic,fricative,3,Estimate,3786.293315964944
looic,fricative,3,SE,166.0397305566778
V,fricative,4,median,4.49294675
V,fricative,4,hdi_95_lower,3.4017741138816513
V,fricative,4,hdi_95_upper,5.749838714479205
mu,fricative,4,median,0.18679816500000002
mu,fricative,4,hdi_95_lower,-0.4128590672122129
mu,fricative,4,hdi_95_upper,0.8835944899198985
t_half,fricative,4,median,30.101036
t_half,fricative,4,hdi_95_lower,21.944768085659526
t_half,fricative,4,hdi_95_upper,42.35706514591301
tau,fricative,4,median,1.01983845
tau,fricative,4,hdi_95_lower,0.950170106503838
tau,fricative,4,hdi_95_upper,1.0917953971696586
looic,fricative,4,Estimate,3751.882865929252
looic,fricative,4,SE,169.26379589777582
V,fricative,5,median,4.19506335
V,fricative,5,hdi_95_lower,3.201527108682211
V,fricative,5,hdi_95_upper,5.534741011797228
mu,fricative,5,median,0.25144774999999997
mu,fricative,5,hdi_95_lower,-0.37908619935333515
mu,fricative,5,hdi_95_upper,0.9452572919139808
t_half,fricative,5,median,33.599731500000004
t_half,fricative,5,hdi_95_lower,23.40826386319328
t_half,fricative,5,hdi_95_upper,46.826804958463974
tau,fricative,5,median,1.07884905
tau,fricative,5,hdi_95_lower,1.007398099632192
tau,fricative,5,hdi_95_upper,1.150026299994253
looic,fricative,5,Estimate,3774.883411206002
looic,fricative,5,SE,166.1954828218228
V,fricative,6,median,4.9198014
V,fricative,6,hdi_95_lower,3.4991767940494998
V,fricative,6,hdi_95_upper,7.106088399013219
mu,fricative,6,median,0.48571429499999996
mu,fricative,6,hdi_95_lower,-0.2689804997901448
mu,fricative,6,hdi_95_upper,1.3190240824857276
t_half,fricative,6,median,45.2501845
t_half,fricative,6,hdi_95_lower,27.409283031521245
t_half,fricative,6,hdi_95_upper,73.86325629303627
tau,fricative,6,median,1.09143945
tau,fricative,6,hdi_95_lower,1.0145291993906116
tau,fricative,6,hdi_95_upper,1.1591314995115296
looic,fricative,6,Estimate,3782.3791803706777
looic,fricative,6,SE,166.52445753658844
V,fricative,7,median,0.25927434
V,fricative,7,hdi_95_lower,0.19322856699914337
V,fricative,7,hdi_95_upper,0.34090034745758874
mu,fricative,7,median,1.30976995
mu,fricative,7,hdi_95_lower,1.1395946992615889
mu,fricative,7,hdi_95_upper,1.4862416993199172
t_half,fricative,7,median,26.1181475
t_half,fricative,7,hdi_95_lower,17.03993902230072
t_half,fricative,7,hdi_95_upper,38.376051049008616
tau,fricative,7,median,0.405960025
tau,fricative,7,hdi_95_lower,0.38059154000135553
tau,fricative,7,hdi_95_upper,0.4296731900051767
looic,fricative,7,Estimate,1892.3202142271728
looic,fricative,7,SE,88.72423238436357
V,fricative,8,median,0.253672235
V,fricative,8,hdi_95_lower,0.1839666873125245
V,fricative,8,hdi_95_upper,0.3331824183199186
mu,fricative,8,median,1.31105205
mu,fricative,8,hdi_95_lower,1.142977800746561
mu,fricative,8,hdi_95_upper,1.491551607182357
t_half,fricative,8,median,26.3947975
t_half,fricative,8,hdi_95_lower,17.022998845618982
t_half,fricative,8,hdi_95_upper,38.02341599108974
tau,fricative,8,median,0.40838537
tau,fricative,8,hdi_95_lower,0.38585248952847195
tau,fricative,8,hdi_95_upper,0.43332758992156667
looic,fricative,8,Estimate,1893.5166451517184
looic,fricative,8,SE,88.1419579497685
V,fricative,9,median,0.25876263
V,fricative,9,hdi_95_lower,0.19385903041522132
V,fricative,9,hdi_95_upper,0.3398736414414927
mu,fricative,9,median,1.3095396
mu,fricative,9,hdi_95_lower,1.1431350000929488
mu,fricative,9,hdi_95_upper,1.4928760007020072
t_half,fricative,9,median,25.869405999999998
t_half,fricative,9,hdi_95_lower,16.720923780580225
t_half,fricative,9,hdi_95_upper,37.41470890270238
tau,fricative,9,median,0.40531828999999997
tau,fricative,9,hdi_95_lower,0.38111297935935123
tau,fricative,9,hdi_95_upper,0.4292523696250996
looic,fricative,9,Estimate,1890.373702391547
looic,fricative,9,SE,88.68231181296703
V,fricative,10,median,0.26074224
V,fricative,10,hdi_95_lower,0.19046096933884865
V,fricative,10,hdi_95_upper,0.3366644099280768
mu,fricative,10,median,1.3050323499999998
mu,fricative,10,hdi_95_lower,1.1481168988093677
mu,fricative,10,hdi_95_upper,1.4931771999531605
t_half,fricative,10,median,25.6355495
t_half,fricative,10,hdi_95_lower,17.014268803369454
t_half,fricative,10,hdi_95_upper,37.982291893892096
tau,fricative,10,median,0.40370138
tau,fricative,10,hdi_95_lower,0.37972578002940743
tau,fricative,10,hdi_95_upper,0.42748988004684024
looic,fricative,10,Estimate,1890.8914520349344
looic,fricative,10,SE,89.21312919339692
V,fricative,11,median,0.261195915
V,fricative,11,hdi_95_lower,0.19158976824032894
V,fricative,11,hdi_95_upper,0.3391128497730988
mu,fricative,11,median,1.30769795
mu,fricative,11,hdi_95_lower,1.145235700235849
mu,fricative,11,hdi_95_upper,1.4953556104862167
t_half,fricative,11,median,25.80689
t_half,fricative,11,hdi_95_lower,16.64556904274788
t_half,fricative,11,hdi_95_upper,37.58238605713964
tau,fricative,11,median,0.40475205000000003
tau,fricative,11,hdi_95_lower,0.3808771190746725
tau,fricative,11,hdi_95_upper,0.4279684095280592
looic,fricative,11,Estimate,1891.477848669246
looic,fricative,11,SE,88.6655621693675
V,fricative,12,median,0.287273455
V,fricative,12,hdi_95_lower,0.19819135040640634
V,fricative,12,hdi_95_upper,0.4171939217465873
mu,fricative,12,median,1.3385555500000001
mu,fricative,12,hdi_95_lower,1.0979240000472488
mu,fricative,12,hdi_95_upper,1.618303902498073
t_half,fricative,12,median,37.103102
t_half,fricative,12,hdi_95_lower,20.60402802377948
t_half,fricative,12,hdi_95_upper,69.79972506238968
tau,fricative,12,median,0.413366925
tau,fricative,12,hdi_95_lower,0.3901145593544382
tau,fricative,12,hdi_95_upper,0.43699422990131903
looic,fricative,12,Estimate,1899.0303848682515
looic,fricative,12,SE,88.85691133815389
V,affricate,1,median,7.0997071
V,affricate,1,hdi_95_lower,5.227420242498507
V,affricate,1,hdi_95_upper,9.306786799216516
mu,affricate,1,median,-2.3938926499999997
mu,affricate,1,hdi_95_lower,-3.1602729969574375
mu,affricate,1,hdi_95_upper,-1.575287850760871
t_half,affricate,1,median,19.197214000000002
t_half,affricate,1,hdi_95_lower,11.865284904736399
t_half,affricate,1,hdi_95_upper,28.200917949934137
tau,affricate,1,median,2.6178444499999998
tau,affricate,1,hdi_95_lower,2.4760331001045817
tau,affricate,1,hdi_95_upper,2.756638005368869
looic,affricate,1,Estimate,1023.0805494154667
looic,affricate,1,SE,259.3901520676961
V,affricate,2,median,7.73885095
V,affricate,2,hdi_95_lower,5.621541312439898
V,affricate,2,hdi_95_upper,10.270209029907422
mu,affricate,2,median,-0.6129851399999999
mu,affricate,2,hdi_95_lower,-1.5187867288153958
mu,affricate,2,hdi_95_upper,0.3620488503419642
t_half,affricate,2,median,29.5320285
t_half,affricate,2,hdi_95_lower,18.610453178495984
t_half,affricate,2,hdi_95_upper,44.555957277632906
tau,affricate,2,median,2.6859161499999997
tau,affricate,2,hdi_95_lower,2.5517525843244058
tau,affricate,2,hdi_95_upper,2.824190594222796
looic,affricate,2,Estimate,1027.7428457327492
looic,affricate,2,SE,258.3350383364955
V,affricate,3,median,8.894256649999999
V,affricate,3,hdi_95_lower,6.153411362897782
V,affricate,3,hdi_95_upper,12.232578228017578
mu,affricate,3,median,-0.431485415
mu,affricate,3,hdi_95_lower,-1.3992004186761549
mu,affricate,3,hdi_95_upper,0.6232627942718558
t_half,affricate,3,median,31.8284695
t_half,affricate,3,hdi_95_lower,19.35747538884849
t_half,affricate,3,hdi_95_upper,48.439863458143876
tau,affricate,3,median,2.66149255
tau,affricate,3,hdi_95_lower,2.523734698470688
tau,affricate,3,hdi_95_upper,2.7934744995762735
looic,affricate,3,Estimate,1026.2075092267366
looic,affricate,3,SE,258.5524726696873
V,affricate,4,median,10.545805000000001
V,affricate,4,hdi_95_lower,8.670652083535401
V,affricate,4,hdi_95_upper,12.269536999894516
mu,affricate,4,median,-1.79614855
mu,affricate,4,hdi_95_lower,-2.225022499225005
mu,affricate,4,hdi_95_upper,-1.385523795250829
t_half,affricate,4,median,3.90994715
t_half,affricate,4,hdi_95_lower,2.54942838112385
t_half,affricate,4,hdi_95_upper,5.875003892609039
tau,affricate,4,median,1.69142935
tau,affricate,4,hdi_95_lower,1.3978114879342305
tau,affricate,4,hdi_95_upper,1.9477833925355832
looic,affricate,4,Estimate,921.1056061580094
looic,affricate,4,SE,261.37048312676166
V,affricate,5,median,8.85014005
V,affricate,5,hdi_95_lower,6.102151035089471
V,affricate,5,hdi_95_upper,12.113608045338264
mu,affricate,5,median,-0.460969155
mu,affricate,5,hdi_95_lower,-1.4474064987121862
mu,affricate,5,hdi_95_upper,0.5767914937664673
t_half,affricate,5,median,31.395395999999998
t_half,affricate,5,hdi_95_lower,18.974633746034918
t_half,affricate,5,hdi_95_upper,48.14981480313541
tau,affricate,5,median,2.6649277
tau,affricate,5,hdi_95_lower,2.5227295995710937
tau,affricate,5,hdi_95_upper,2.798144299935122
looic,affricate,5,Estimate,1025.958995956957
looic,affricate,5,SE,258.56876234200223
V,affricate,6,median,10.97771
V,affricate,6,hdi_95_lower,7.321460429705831
V,affricate,6,hdi_95_upper,16.057651981780243
mu,affricate,6,median,0.26007587499999996
mu,affricate,6,hdi_95_lower,-0.7774757457835832
mu,affricate,6,hdi_95_upper,1.3445360928410597
t_half,affricate,6,median,51.7598155
t_half,affricate,6,hdi_95_lower,27.909738386322044
t_half,affricate,6,hdi_95_upper,85.7274754777166
tau,affricate,6,median,2.67920785
tau,affricate,6,hdi_95_lower,2.542405399635372
tau,affricate,6,hdi_95_upper,2.8109485997345973
looic,affricate,6,Estimate,1031.5861202861738
looic,affricate,6,SE,258.5915672018294
V,affricate,7,median,0.8259012450000001
V,affricate,7,hdi_95_lower,0.6087425624182551
V,affricate,7,hdi_95_upper,1.0704542043026373
mu,affricate,7,median,1.1924993000000002
mu,affricate,7,hdi_95_lower,0.9600305654653042
mu,affricate,7,hdi_95_upper,1.4537018993057118
t_half,affricate,7,median,17.5421605
t_half,affricate,7,hdi_95_lower,10.610458663526174
t_half,affricate,7,hdi_95_upper,25.643574741642002
tau,affricate,7,median,0.7891200199999999
tau,affricate,7,hdi_95_lower,0.7425583879223483
tau,affricate,7,hdi_95_upper,0.8345924285598458
looic,affricate,7,Estimate,3882.256310768434
looic,affricate,7,SE,61.091645150595674
V,affricate,8,median,0.818256775
V,affricate,8,hdi_95_lower,0.5885603599363233
V,affricate,8,hdi_95_upper,1.0633223999942742
mu,affricate,8,median,1.19012145
mu,affricate,8,hdi_95_lower,0.9397230216593326
mu,affricate,8,hdi_95_upper,1.4433262058139729
t_half,affricate,8,median,17.7509235
t_half,affricate,8,hdi_95_lower,10.942211952235851
t_half,affricate,8,hdi_95_upper,26.516527956135544
tau,affricate,8,median,0.7941555650000001
tau,affricate,8,hdi_95_lower,0.7466106886832874
tau,affricate,8,hdi_95_upper,0.8403292499925665
looic,affricate,8,Estimate,3880.955303199713
looic,affricate,8,SE,60.518467698865294
V,affricate,9,median,0.8212289349999999
V,affricate,9,hdi_95_lower,0.607219353264455
V,affricate,9,hdi_95_upper,1.0705125050399522
mu,affricate,9,median,1.18605005
mu,affricate,9,hdi_95_lower,0.9330883100063638
mu,affricate,9,hdi_95_upper,1.4391479008211743
t_half,affricate,9,median,17.454622999999998
t_half,affricate,9,hdi_95_lower,10.566256914037542
t_half,affricate,9,hdi_95_upper,25.875817984700323
tau,affricate,9,median,0.79045853
tau,affricate,9,hdi_95_lower,0.7450741584618544
tau,affricate,9,hdi_95_upper,0.8381836085677793
looic,affricate,9,Estimate,3881.574244229973
looic,affricate,9,SE,60.97398331013712
V,affricate,10,median,0.841756285
V,affricate,10,hdi_95_lower,0.6324323349186903
V,affricate,10,hdi_95_upper,1.0918214972650064
mu,affricate,10,median,1.17387385
mu,affricate,10,hdi_95_lower,0.9385249588781592
mu,affricate,10,hdi_95_upper,1.4272167093119403
t_half,affricate,10,median,16.3237305
t_half,affricate,10,hdi_95_lower,9.079529437017738
t_half,affricate,10,hdi_95_upper,24.11231626893689
tau,affricate,10,median,0.7721028299999999
tau,affricate,10,hdi_95_lower,0.725018419506549
tau,affricate,10,hdi_95_upper,0.8192476499422855
looic,affricate,10,Estimate,3881.894191522111
looic,affricate,10,SE,62.717713669615314
V,affricate,11,median,0.81863649
V,affricate,11,hdi_95_lower,0.6054062722103897
V,affricate,11,hdi_95_upper,1.0577211141192775
mu,affricate,11,median,1.1866911
mu,affricate,11,hdi_95_lower,0.9414639767957025
mu,affricate,11,hdi_95_upper,1.433838899832528
t_half,affricate,11,median,17.192220499999998
t_half,affricate,11,hdi_95_lower,10.434710104853856
t_half,affricate,11,hdi_95_upper,25.62526415408936
tau,affricate,11,median,0.788838915
tau,affricate,11,hdi_95_lower,0.7378004700907735
tau,affricate,11,hdi_95_upper,0.8338445904317605
looic,affricate,11,Estimate,3882.403397368691
looic,affricate,11,SE,61.082729458868975
V,affricate,12,median,0.892430595
V,affricate,12,hdi_95_lower,0.6357733213641258
V,affricate,12,hdi_95_upper,1.205455197401561
mu,affricate,12,median,1.2289061000000001
mu,affricate,12,hdi_95_lower,0.9381921389049854
mu,affricate,12,hdi_95_upper,1.542796099972172
t_half,affricate,12,median,22.4948915
t_half,affricate,12,hdi_95_lower,12.71849896636741
t_half,affricate,12,hdi_95_upper,37.54497419316995
tau,affricate,12,median,0.79752674
tau,affricate,12,hdi_95_lower,0.7485137298149059
tau,affricate,12,hdi_95_upper,0.8418422199499235
looic,affricate,12,Estimate,3882.6861353416793
looic,affricate,12,SE,61.04059748420521
V,series,1,median,0.1777388
V,series,1,hdi_95_lower,0.13608527087273461
V,series,1,hdi_95_upper,0.22449966123441434
mu,series,1,median,1.12222635
mu,series,1,hdi_95_lower,0.9971203024621155
mu,series,1,hdi_95_upper,1.2620009973199176
t_half,series,1,median,25.2066995
t_half,series,1,hdi_95_lower,17.874295892017606
t_half,series,1,hdi_95_upper,34.369879974595904
tau,series,1,median,0.191604265
tau,series,1,hdi_95_lower,0.17600582000087608
tau,series,1,hdi_95_upper,0.20686414002294629
looic,series,1,Estimate,3140.7067078488467
looic,series,1,SE,67.31003524292484
V,series,2,median,0.172491685
V,series,2,hdi_95_lower,0.13310266118540778
V,series,2,hdi_95_upper,0.22004561142400314
mu,series,2,median,1.12120895
mu,series,2,hdi_95_lower,0.9954567113706101
mu,series,2,hdi_95_upper,1.2553753025171612
t_half,series,2,median,25.643803499999997
t_half,series,2,hdi_95_lower,18.080393998244688
t_half,series,2,hdi_95_upper,34.8225669999222
tau,series,2,median,0.19467149
tau,series,2,hdi_95_lower,0.18027599002779587
tau,series,2,hdi_95_upper,0.2107095000541736
looic,series,2,Estimate,3146.959400406234
looic,series,2,SE,66.9020588578469
V,series,3,median,0.17771294999999998
V,series,3,hdi_95_lower,0.13787718976410102
V,series,3,hdi_95_upper,0.22460372984825072
mu,series,3,median,1.11921295
mu,series,3,hdi_95_lower,0.9890588800489486
mu,series,3,hdi_95_upper,1.2531258004240808
t_half,series,3,median,24.9507305
t_half,series,3,hdi_95_lower,17.788965856274984
t_half,series,3,hdi_95_upper,34.06331394374757
tau,series,3,median,0.190923925
tau,series,3,hdi_95_lower,0.17561546877827955
tau,series,3,hdi_95_upper,0.20640711934331982
looic,series,3,Estimate,3135.845301149295
looic,series,3,SE,67.57562425374275
V,series,4,median,0.17774031
V,series,4,hdi_95_lower,0.13650749029941825
V,series,4,hdi_95_upper,0.22432253130536275
mu,series,4,median,1.1209261499999998
mu,series,4,hdi_95_lower,0.9958093074185622
mu,series,4,hdi_95_upper,1.2630011990480252
t_half,series,4,median,25.018723
t_half,series,4,hdi_95_lower,17.808017035341518
t_half,series,4,hdi_95_upper,34.38742385414199
tau,series,4,median,0.191198305
tau,series,4,hdi_95_lower,0.17522066017351756
tau,series,4,hdi_95_upper,0.2061754702622205
looic,series,4,Estimate,3137.3767310810545
looic,series,4,SE,67.3649483115274
V,series,5,median,0.176900955
V,series,5,hdi_95_lower,0.13771150082217415
V,series,5,hdi_95_upper,0.22581415272501146
mu,series,5,median,1.1163007
mu,series,5,hdi_95_lower,0.9846668294372619
mu,series,5,hdi_95_upper,1.2479197995895321
t_half,series,5,median,24.9829465
t_half,series,5,hdi_95_lower,17.945039857436917
t_half,series,5,hdi_95_upper,34.51612992366321
tau,series,5,median,0.19098074
tau,series,5,hdi_95_lower,0.17614754994973592
tau,series,5,hdi_95_upper,0.20636956999032707
looic,series,5,Estimate,3138.3908617047373
looic,series,5,SE,67.48502488213488
V,series,6,median,0.19700484499999998
V,series,6,hdi_95_lower,0.1468220951969862
V,series,6,hdi_95_upper,0.2717364489110293
mu,series,6,median,1.13496745
mu,series,6,hdi_95_lower,0.9714465985966464
mu,series,6,hdi_95_upper,1.309306198911159
t_half,series,6,median,30.7611395
t_half,series,6,hdi_95_lower,19.659886002333423
t_half,series,6,hdi_95_upper,47.492524014165774
tau,series,6,median,0.194508925
tau,series,6,hdi_95_lower,0.17915338055407642
tau,series,6,hdi_95_upper,0.21057312072859613
looic,series,6,Estimate,3149.285459057906
looic,series,6,SE,67.76639584171289
V,series,7,median,1.2709926500000002
V,series,7,hdi_95_lower,0.997548680011938
V,series,7,hdi_95_upper,1.5852153004451046
mu,series,7,median,3.15840005
mu,series,7,hdi_95_lower,2.8806260000617074
mu,series,7,hdi_95_upper,3.4759965002215663
t_half,series,7,median,17.630920500000002
t_half,series,7,hdi_95_lower,11.68561117746309
t_half,series,7,hdi_95_upper,24.620838274968776
tau,series,7,median,0.58325906
tau,series,7,hdi_95_lower,0.5305271583099448
tau,series,7,hdi_95_upper,0.6342422398557215
looic,series,7,Estimate,3340.966896315566
looic,series,7,SE,78.8994692555266
V,series,8,median,1.26254705
V,series,8,hdi_95_lower,0.9690986147468854
V,series,8,hdi_95_upper,1.5707788088393606
mu,series,8,median,3.17459115
mu,series,8,hdi_95_lower,2.869617200185556
mu,series,8,hdi_95_upper,3.490419100640815
